team,adjO,adjD
Kentucky,116.5,87.4
Kansas,115.0,86.4
Pittsburgh,114.8,86.2
Arizona,115.6,88.8
Illinois,113.2,88.7
Duke,115.0,91.3
Texas,119.3,95.8
Syracuse,114.4,91.1
Oklahoma,112.1,89.1
Louisville,115.8,93.0
Florida,116.5,94.4
Wisconsin,114.4,92.4
Maryland,110.9,88.9
Mississippi St.,107.4,85.8
Marquette,120.5,99.2
Georgia,120.9,99.9
Saint Joseph's,109.0,88.3
Notre Dame,116.5,96.2
Michigan St.,110.1,89.9
Xavier,113.8,94.0
Wake Forest,114.5,94.6
Connecticut,111.6,92.0
LSU,111.0,92.8
BYU 2,109.4,91.7
Oklahoma St.,105.9,88.2
Creighton,112.4,94.9
Purdue,107.0,89.6
Missouri,111.5,94.2
Memphis,110.9,94.1
Arizona St. 0,113.9,97.4
Butler 2,115.4,99.3
Texas Tech,109.3,93.4
Gonzaga,113.2,97.7
Colorado 0,109.1,93.8
Georgetown,107.1,92.2
Cincinnati,105.0,90.3
UNC Wilmington 1,109.5,94.9
Alabama 0,110.3,95.7
Stanford,109.8,95.2
Dayton,116.4,101.9
Indiana,113.4,98.9
Oregon,111.4,97.1
Georgia Tech,109.1,94.8
Utah,106.6,92.6
Providence,108.0,94.1
Auburn 0,107.7,94.1
California,109.9,96.3
Penn 1,110.3,96.9
Boston College,117.7,104.4
North Carolina St.,111.2,98.1
Tulsa 3,107.9,94.9
Milwaukee 2,109.0,96.0
Seton Hall,104.6,92.3
North Carolina,107.9,95.8
Southern Illinois 1,110.3,98.6
Western Kentucky 3,108.0,96.3
Villanova,106.6,95.4
Tennessee,108.0,97.0
Mississippi,111.2,100.3
Kansas St.,107.9,97.0
Michigan,109.0,98.3
Illinois Chicago,110.5,99.9
Detroit,109.6,99.0
Iowa St.,106.3,95.7
Louisiana Lafayette,107.9,97.4
Holy Cross 4,105.5,95.1
St. John's,105.4,95.3
Manhattan 4,105.5,95.4
DePaul,105.1,95.1
Central Michigan 1,109.5,99.4
UNLV,108.1,98.2
Minnesota,107.4,97.7
UAB,105.2,95.8
Temple,108.0,98.6
Ohio St.,103.2,94.3
Weber St. 2,111.4,102.5
Florida St.,100.9,92.0
Iowa,106.4,97.9
Saint Louis,104.1,95.8
San Diego 3,104.7,96.4
South Carolina,103.1,94.8
Virginia,108.8,100.6
Nevada,108.0,99.9
St. Bonaventure,112.8,104.8
Southwest Missouri St.,100.6,92.5
Western Michigan,101.7,94.0
New Mexico St.,107.7,100.2
Utah St. 5,107.1,99.7
Texas A&M,104.4,97.4
Vanderbilt,103.7,96.9
USC,105.2,98.4
San Diego St.,108.0,101.3
Valparaiso,103.7,97.1
Kent St.,111.2,104.7
UC Santa Barbara,104.2,97.7
Wyoming,108.5,102.2
Richmond,101.4,95.2
Fresno St.,105.2,98.9
Troy St. 4,106.9,100.8
Miami FL,103.3,97.2
Rutgers,100.9,94.9
Baylor,106.6,100.7
Charlotte,104.5,98.5
Colorado St. 4,110.6,104.6
Clemson,107.3,101.6
Murray St.,107.3,101.8
UCLA,107.2,101.7
Tulane,106.8,101.4
Eastern Washington,102.9,97.6
George Washington,107.2,102.1
Drexel,101.7,96.7
Rice,105.8,101.1
West Virginia,104.7,99.9
South Florida,101.3,96.8
Hawaii,102.9,98.5
Rhode Island,101.6,97.3
George Mason,98.1,93.8
San Francisco,109.1,104.9
UC Irvine,103.6,99.5
College of Charleston,102.5,98.4
VCU,103.4,99.3
Siena,105.3,101.4
Tennessee Tech,102.8,99.0
Loyola Chicago,105.7,101.9
Boston University,102.4,98.7
Middle Tennessee St.,103.8,100.5
Chattanooga,110.6,107.3
Oregon St.,100.7,97.5
UCF,102.9,99.7
Washington,102.6,99.4
Wichita St.,107.7,104.6
Toledo,103.6,100.6
Princeton,109.2,106.2
Arkansas,98.0,95.1
Austin Peay 3,100.7,98.0
Denver,102.4,99.8
Northern Illinois,104.6,102.1
Nebraska,97.4,94.9
Miami OH,101.1,98.7
