team,adjO,adjD
Duke,121.0,87.7
Kansas,120.4,88.5
Syracuse,118.5,90.9
Kentucky,114.9,88.3
West Virginia,117.2,91.7
Kansas St.,116.1,90.6
Ohio St.,117.5,92.5
Baylor,119.2,94.3
Wisconsin,115.2,91.6
BYU,117.3,94.0
Georgetown,116.8,94.2
Butler,111.0,88.5
Maryland,118.3,95.9
California,119.6,97.4
Purdue,109.8,87.7
Texas A&M,112.6,91.2
Villanova,117.2,96.0
Xavier,115.5,94.6
Texas,113.9,93.1
Michigan St.,112.8,92.7
Temple,107.8,87.7
Missouri 0,111.5,91.5
Utah St. 2,116.0,96.1
Marquette,115.1,95.5
Clemson,110.9,91.6
Dayton,108.1,89.1
Northern Iowa,109.6,90.8
Pittsburgh,111.4,92.8
Saint Mary's 0,116.5,97.9
Tennessee,108.9,90.4
Georgia Tech 0,109.2,91.0
Washington 1,111.7,93.6
Florida St.,105.0,87.0
Minnesota 1,112.0,94.1
Notre Dame,119.4,101.7
Vanderbilt,113.7,96.2
Old Dominion 1,107.8,90.3
Louisville,114.5,97.6
Oklahoma St.,112.2,95.4
San Diego St. 1,111.4,94.9
UNLV,110.6,94.0
UTEP 2,107.7,91.2
New Mexico,113.6,97.4
Gonzaga,112.3,96.1
Mississippi St.,109.7,93.7
Cornell 2,117.4,101.5
Virginia Tech,108.3,92.4
Mississippi,112.9,97.2
Memphis,115.3,100.1
Florida 0,113.0,97.8
Connecticut,107.7,92.5
Arizona St.,110.0,94.8
Murray St. 3,109.0,94.0
Richmond,108.8,93.8
Miami FL,112.2,97.4
VCU,113.2,98.8
Illinois,109.2,94.8
Wake Forest,107.1,93.0
Siena 3,109.4,95.5
Rhode Island,112.6,99.1
North Carolina,107.4,94.0
UAB,104.6,91.8
Alabama,107.9,95.3
Wichita St.,108.9,96.6
Wright St.,108.6,96.5
Seton Hall,112.7,100.7
St. John's,106.5,94.5
Cincinnati,106.3,94.4
North Carolina St.,106.1,94.6
Michigan,107.4,95.9
Northeastern,106.5,95.2
Texas Tech,108.8,97.6
Iowa St.,107.2,96.1
Boston College,110.7,99.8
Missouri St.,111.8,100.9
Virginia,108.0,97.2
USC,96.7,86.1
South Florida,107.8,97.3
Portland,110.6,100.4
Nevada,112.8,102.6
Marshall,110.1,99.9
Wofford 3,104.6,94.4
Tulsa,107.6,97.7
Northwestern,113.0,103.2
South Carolina,106.5,97.4
Kent St.,106.6,97.8
Arizona,108.4,99.5
Houston 3,112.0,103.2
Illinois St.,107.5,98.7
Providence,116.0,107.3
Georgia,109.8,101.1
Colorado,113.1,104.5
Nebraska,107.0,98.7
Ohio 4,107.3,99.0
Montana 4,106.5,98.4
Charlotte,108.7,100.8
Pacific,106.2,98.3
Saint Louis,100.1,92.4
Southern Miss,103.7,96.1
Sam Houston St. 4,110.2,102.7
Penn St.,107.9,100.8
Morehead St.,105.1,98.1
Auburn,109.9,102.9
Oklahoma,110.2,103.2
Weber St.,109.2,102.2
Stanford,106.5,99.7
William & Mary,110.0,103.4
IUPUI,108.5,102.2
Appalachian St.,110.1,104.0
Iona,100.1,94.0
Harvard,107.5,101.4
New Mexico St. 2,111.6,105.5
Louisiana Tech,105.4,99.4
Bradley,106.3,100.6
Washington St.,108.2,102.5
Creighton,107.8,102.2
UCLA,106.4,100.9
Fairfield,106.7,101.3
Arkansas,105.9,100.6
Princeton,98.6,93.3
Akron,105.3,100.1
George Washington,103.4,98.3
Southern Illinois,106.1,101.0
Utah,102.9,98.0
Northern Colorado,105.5,100.7
Detroit,101.0,96.4
Western Kentucky,105.9,101.5
Niagara,105.7,101.6
Oregon,105.8,101.8
Milwaukee,105.5,101.6
Hofstra,101.1,97.4
Belmont,103.3,99.6
Boston University,103.8,100.3
St. Bonaventure,106.2,102.7
Oakland 4,107.5,104.3
Vermont 6,104.1,101.0
Western Michigan,106.7,103.7
Indiana St.,104.5,101.5
Green Bay,106.7,103.7
Oral Roberts,102.3,99.4
Colorado St.,101.5,98.7
Duquesne,102.5,99.7
Miami OH,103.9,101.1
Jacksonville,102.2,99.5
Drexel,100.5,97.7
Idaho,105.6,102.9
Oregon St.,99.0,96.4
Coastal Carolina,101.8,99.3
SMU,106.1,103.6
East Tennessee St. 6,100.9,98.4
College of Charleston,109.4,107.1
Cleveland St.,105.9,103.7
UC Santa Barbara 5,100.0,97.9
Long Beach St.,100.6,98.6
Western Carolina,105.3,103.6
Morgan St. 5,105.5,104.0
Stephen F. Austin,103.0,101.5
Buffalo,106.6,105.1
Rutgers,103.4,102.0
La Salle,106.2,105.1
Boise St.,102.2,101.3
George Mason,102.8,101.9
Campbell,100.5,99.7
Middle Tennessee,101.4,100.7
Fresno St.,100.1,99.5
UCF,102.6,102.3
Massachusetts,102.7,102.6
Loyola Marymount,108.4,108.4
Drake,107.2,107.2
DePaul,100.0,100.1
Texas A&M Corpus Chris,99.4,99.5
Lipscomb,109.3,109.4
Saint Joseph's,102.6,102.7
Iowa,103.4,103.7
North Texas 5,103.4,103.8
Saint Peter's,92.8,93.3
Seattle,100.6,101.2
Eastern Kentucky,110.7,111.3
San Jose St.,109.9,110.5
Troy,105.1,105.8
TCU,105.2,105.9
Mount St. Mary's,96.8,97.6
Valparaiso,110.7,111.6
Portland St.,113.3,114.2
Robert Morris 5,99.9,100.8
Lehigh 6,105.6,106.6
Quinnipiac,103.5,104.5
Stony Brook,102.3,103.4
Eastern Michigan,100.3,101.4
Davidson,103.6,104.9
LSU,99.7,101.2
Denver,106.2,107.7
Rider,103.1,104.6
Indiana,101.4,103.0
Montana St.,103.4,105.2
Central Michigan,101.6,103.4
The Citadel,100.3,102.3
UTSA,103.9,106.0
Manhattan,99.3,101.7
Bowling Green,101.3,104.2
Canisius,100.1,103.1
Arkansas St.,99.1,102.0
Southeastern Louisiana,100.9,104.0
San Francisco,100.5,103.6
Mercer,107.8,111.2
Florida Atlantic,103.8,107.2
Austin Peay,103.7,107.2
San Diego,98.4,102.1
Georgia St.,99.8,103.5
Cal St. Fullerton,102.5,106.2
Eastern Illinois,100.0,103.9
UNC Wilmington,98.6,102.6
Maine,94.2,98.3
Loyola MD,99.5,103.6
James Madison,101.1,105.4
Loyola Chicago,101.8,106.1
Louisiana Lafayette,99.4,103.7
Radford,95.5,100.5
South Dakota St.,105.5,110.6
Evansville,97.8,103.1
Northern Arizona,99.1,104.5
Ball St.,94.6,100.1
Cal St. Northridge,97.8,103.4
Tulane,95.1,100.7
Winthrop 6,90.7,96.3
UC Davis,101.0,106.7
Youngstown St.,99.4,105.6
Hampton,94.1,100.4
Texas St.,98.5,104.8
UC Riverside,98.2,104.5
Arkansas Pine Bluff 6,93.1,99.5
East Carolina,101.9,108.4
Hawaii,101.3,108.0
Furman,98.0,104.8
Holy Cross,102.2,109.4
IPFW,96.9,104.2
Northern Illinois,99.0,106.4
Santa Clara,96.2,103.6
Wyoming,97.4,104.9
Lafayette,104.1,111.8
UT Arlington,95.9,103.6
North Dakota St.,96.6,104.3
Cal Poly,103.2,111.0
Towson,102.5,110.5
Illinois Chicago,96.6,104.5
Bucknell,98.0,105.9
South Dakota,98.6,106.8
Chattanooga,96.9,105.1
Rice,95.9,104.4
Samford,100.5,109.0
South Alabama,96.2,104.7
UC Irvine,101.1,109.6
UNC Greensboro,96.2,104.8
Air Force,96.8,105.5
South Carolina St.,97.4,106.2
Tennessee Tech,104.7,113.8
Delaware,99.5,108.8
Tennessee St.,97.8,107.2
Army,89.3,99.0
New Hampshire,91.5,101.3
Elon,96.2,106.3
Delaware St.,96.9,107.1
Yale,96.1,106.5
Jacksonville St.,97.5,107.9
Eastern Washington,96.4,106.8
North Florida,91.8,102.3
Texas Southern,93.4,103.9
Kennesaw St.,98.1,108.7
Western Illinois,91.4,102.0
LIU Brooklyn,99.8,110.8
Norfolk St.,96.2,107.2
Binghamton,98.1,109.2
Nicholls St.,99.6,110.7
Jackson St.,93.5,104.9
Sacred Heart,99.1,110.5
UNC Asheville,97.2,108.7
USC Upstate,92.0,103.6
Idaho St.,103.8,115.6
McNeese St.,99.0,110.9
Louisiana Monroe,98.4,110.3
Arkansas Little Rock,99.6,111.6
Liberty,96.3,108.4
Lamar,96.4,108.5
Brown,100.0,112.1
Cal St. Bakersfield,96.1,108.2
Pepperdine,98.0,110.2
High Point,97.1,109.6
Sacramento St.,93.3,105.8
Alabama St.,93.5,106.2
Colgate,97.8,110.5
Navy,96.3,109.0
Bethune Cookman,93.9,106.9
Charleston Southern,94.7,107.8
American,94.1,107.2
Albany,97.2,110.3
Monmouth,92.5,105.9
Columbia,92.2,105.7
Longwood,98.0,111.6
UMKC,98.2,111.9
Georgia Southern,98.1,111.9
Florida Gulf Coast,94.8,108.6
North Carolina A&T,93.8,107.6
Northwestern St.,96.9,110.9
Central Arkansas,92.0,106.3
Fordham,93.3,107.7
FIU,98.7,113.1
Savannah St.,89.8,104.3
Penn,97.3,111.9
Central Connecticut,92.3,107.8
Prairie View A&M,85.6,101.2
St. Francis NY,89.8,105.5
Hartford,95.6,111.4
Southeast Missouri St.,90.7,106.8
St. Francis PA,95.5,111.9
New Orleans,89.0,105.7
Fairleigh Dickinson,92.2,109.6
VMI,102.4,120.5
Centenary,95.0,113.5
Maryland Eastern Shore,91.6,110.1
Texas Pan American,89.5,108.0
Houston Baptist,93.8,113.0
UMBC,95.5,114.7
Coppin St.,89.3,108.7
Southern Utah,89.8,109.3
Toledo,88.8,108.3
Utah Valley,89.8,109.4
Alabama A&M,87.5,107.2
Mississippi Valley St.,91.6,112.0
Presbyterian,90.9,111.6
Winston Salem St.,86.9,107.6
Gardner Webb,90.1,111.0
Stetson,90.5,111.3
Florida A&M,92.8,113.7
Tennessee Martin,90.2,111.4
Wagner,89.1,111.1
Marist,90.8,112.8
Howard,88.4,110.4
NJIT,84.7,106.8
North Carolina Central,85.9,108.4
SIU Edwardsville,88.1,111.3
Dartmouth,82.4,106.7
Chicago St.,85.3,109.9
North Dakota,92.8,117.6
Grambling St.,89.0,114.0
Southern,83.9,110.6
Bryant,79.5,111.7
Alcorn St.,81.3,113.9

