team,adjO,adjD
Florida,117.9,89.7
Duke,119.4,91.8
Texas,117.5,91.7
Connecticut,117.8,92.3
Villanova,116.3,91.7
Memphis,113.2,89.6
UCLA,112.7,89.3
Kansas,110.4,87.2
Illinois,114.5,91.3
North Carolina,115.9,93.7
LSU,109.8,87.8
Pittsburgh,112.4,90.6
Georgetown,116.5,95.2
Ohio St.,113.0,92.3
Washington,114.8,94.7
West Virginia,116.1,96.6
Tennessee,116.6,97.2
Boston College,117.8,99.2
South Carolina,114.9,96.4
Arkansas,112.2,93.8
Iowa,103.8,85.6
George Mason 1,109.7,91.5
Arizona,112.2,95.0
Kentucky,114.4,97.3
Bradley 3,107.5,91.0
Wichita St.,111.8,95.7
Michigan St.,116.3,100.3
Michigan,113.1,97.2
Notre Dame,117.3,101.4
North Carolina St. 0,112.5,96.6
Texas A&M 2,106.7,90.8
Northern Iowa 0,109.0,93.1
Gonzaga,119.1,103.5
Indiana,110.0,94.4
Missouri St.,111.0,95.5
Marquette,112.8,97.4
Nevada,110.0,94.8
Florida St.,110.1,95.1
Wisconsin,111.5,96.6
Air Force 3,113.2,98.3
Saint Joseph's,109.8,95.0
UNC Wilmington,107.2,92.4
George Washington,110.3,95.6
Cincinnati,110.9,96.6
Oklahoma,113.0,99.0
Louisville,108.2,94.2
California,110.5,96.8
Southern Illinois 1,102.9,89.3
Vanderbilt,114.7,101.2
Syracuse,110.0,96.8
Creighton,107.2,94.1
San Diego St. 1,112.8,100.0
Oklahoma St.,107.9,95.2
Xavier 4,110.9,98.2
Miami FL,111.2,98.5
UAB,109.1,96.5
Maryland,107.6,95.0
Bucknell,105.7,93.1
Clemson,105.9,93.4
Alabama 0,112.8,100.3
Butler,114.9,102.9
Milwaukee 1,108.3,96.5
Hofstra,111.3,99.6
Temple,109.1,97.7
Iona 3,109.7,98.4
Oregon,111.9,100.6
Old Dominion,106.9,95.7
Pacific 3,109.8,99.0
Utah St. 2,113.4,102.6
Kent St. 2,108.3,97.8
Rutgers,109.5,99.1
Colorado,109.2,99.0
Winthrop 5,104.4,94.2
Virginia Tech,108.2,97.9
Houston,103.5,93.3
Iowa St.,111.2,101.2
Kansas St.,105.9,96.3
Stanford,105.9,96.4
Providence,112.2,102.7
Wake Forest,110.4,100.9
Virginia,106.1,96.7
Minnesota,104.4,95.1
Akron,111.1,101.8
South Alabama 4,109.1,99.9
UTEP,103.7,94.6
Seton Hall 0,106.5,97.4
Montana 2,111.6,102.7
UNLV,105.3,96.8
Murray St. 4,104.5,96.0
DePaul,110.2,101.8
BYU,110.1,102.2
Western Kentucky,111.3,103.5
Northwestern St. 4,106.6,99.1
Charlotte,107.5,100.0
La Salle,107.3,99.8
Louisiana Tech,101.1,93.6
Penn 5,101.8,94.5
Hawaii,106.9,99.8
Washington St.,97.4,90.3
Drexel,100.3,93.4
Miami OH,104.3,97.5
USC,105.0,98.3
Georgia Tech,104.8,98.1
VCU,107.2,100.5
Massachusetts,101.1,94.6
Saint Mary's,105.8,99.3
Georgia,103.4,97.0
Marist,113.1,107.0
Ohio,106.4,100.4
Northeastern,107.0,101.1
Nebraska,102.9,97.1
Oral Roberts 6,107.1,101.4
Auburn,104.2,98.6
Mississippi St.,102.9,97.3
New Mexico,105.4,100.1
Penn St.,109.5,104.2
St. John's,97.6,92.3
Toledo,101.4,96.2
San Diego,106.9,101.7
Northern Illinois,112.7,107.7
Texas Tech,105.6,100.6
Davidson 5,109.9,105.0
Northwestern,102.8,97.9
Texas A&M Corpus Chris,104.6,99.8
Saint Louis,99.2,94.6
New Mexico St.,105.6,101.4
Fordham,107.6,103.5
Colorado St.,107.7,103.6
Holy Cross,100.3,96.3
UC Irvine,110.0,106.6
Dayton,102.7,99.5
Siena,105.0,101.9
Samford,110.0,107.0
Manhattan,107.8,104.8
Loyola Marymount,100.2,97.3
Drake,107.0,104.2
Fresno St.,105.6,102.8
Albany 6,106.2,103.6
Buffalo,106.0,103.4
Utah,104.8,102.4
Arizona St.,104.8,102.6
Wyoming,99.1,97.3
Boise St.,101.8,100.0
Loyola Chicago,107.5,105.8
Long Beach St.,107.6,106.1
Saint Peter's,106.2,105.2
Mississippi,102.5,101.6
Eastern Washington,106.7,106.0
Oregon St.,104.4,103.8
Rhode Island,104.0,103.4
Missouri,103.9,103.7
San Francisco,103.5,103.2
Louisiana Lafayette,98.4,98.2
Baylor,102.6,102.4
Purdue,101.9,101.7
Sacramento St.,106.7,106.7
Northern Arizona,103.9,104.0
Central Connecticut,109.6,109.6
Middle Tennessee,105.0,105.3
Santa Clara,100.7,101.1
Georgia Southern,101.2,101.6
Portland St.,102.1,102.6
North Dakota St.,103.8,104.4
Monmouth 6,95.8,96.4
Belmont 5,107.1,107.8
Cal St. Fullerton,107.3,108.1
Coastal Carolina,106.5,107.3
Troy,105.4,106.3
Illinois St.,92.8,93.6
Illinois Chicago,105.4,106.4
South Florida,95.7,96.7
Denver,98.5,99.6
Fairleigh Dickinson,101.5,102.5
UC Santa Barbara,102.2,103.3
Valparaiso,105.1,106.2
Detroit,104.2,105.5
Lipscomb,100.2,101.8
IUPUI,105.4,107.2
Indiana St.,101.1,102.9
College of Charleston,99.6,101.5
Niagara,106.4,108.4
Sam Houston St.,101.5,103.5
Wright St.,101.0,103.0
Loyola MD,105.3,107.4
Stephen F. Austin,102.8,105.0
Birmingham Southern,109.0,111.2
SMU,98.3,100.7
Evansville,100.4,102.9
Southeastern Louisiana,101.0,103.6
UCF,99.9,102.6
UT Arlington,102.5,105.3
Lehigh,96.8,99.8
Green Bay,102.8,105.8
Binghamton,95.8,99.0
Austin Peay,102.8,106.0
Vermont,98.5,101.9
Southern 6,96.2,99.6
San Jose St.,95.8,99.3
Ball St.,98.2,101.7
Idaho St.,104.6,108.2
Delaware St.,102.1,105.7
Tennessee Tech,100.4,104.0
Boston University,97.1,101.0
Pepperdine,97.1,101.4
Jacksonville St.,106.6,111.0
Lamar,103.7,108.1
North Texas,102.5,106.9
Tennessee St.,104.2,108.7
Tulane,94.7,99.6
Canisius,103.6,108.5
Tulsa,94.2,99.2
Portland,102.6,107.7
High Point,100.8,106.0
Montana St.,103.4,108.7
Arkansas Little Rock,95.6,100.9
Arkansas St.,104.7,110.0
Rice,100.2,105.6
McNeese St.,97.9,103.5
Georgia St.,102.3,107.9
East Tennessee St.,99.7,105.4
Delaware,96.8,102.6
Tennessee Martin,103.3,109.2
Marshall,98.1,104.1
Furman,102.6,108.7
Fairfield,106.4,112.5
UTSA,99.9,106.0
Elon,97.6,103.8
Utah Valley St.,101.8,108.2
Rider,100.9,107.3
Radford,104.1,110.6
New Orleans,99.1,105.6
Western Michigan,96.6,103.2
Cornell,98.9,105.6
Chicago St.,101.2,108.1
William & Mary,98.6,105.7
Chattanooga,98.8,106.0
St. Bonaventure,100.3,107.5
Appalachian St.,100.6,107.8
TCU,94.0,101.2
Robert Morris,104.0,111.3
Hartford,101.6,109.1
Mount St. Mary's,96.8,104.4
Cleveland St.,91.6,99.4
Western Carolina,99.7,107.5
Florida Atlantic,102.4,110.2
Richmond,93.6,101.4
Cal Poly,99.8,107.7
Southern Utah,101.7,109.6
Towson,103.1,111.1
Weber St.,99.0,107.0
Wofford,99.6,107.7
Youngstown St.,103.5,111.7
Quinnipiac,98.6,106.8
Wagner,97.4,105.8
Harvard,96.8,105.3
Sacred Heart,97.6,106.2
American,98.5,107.1
Charleston Southern,99.6,108.3
Yale,96.0,104.7
Bowling Green,97.5,106.3
Eastern Kentucky,105.0,113.9
