team,adjO,adjD
Boston University,106.3,102.5
Ohio,106.5,102.7
Colorado St.,110.5,107.0
Drexel,105.2,101.8
Towson,110.6,107.2
Western Michigan 4,106.3,103.0
Houston,111.1,107.7
Wright St.,100.4,97.1
Northwestern,98.3,94.9
Murray St.,109.0,105.8
Eastern Michigan,98.5,95.3
Hawaii,111.0,108.0
San Diego,105.4,102.5
Denver,110.6,107.7
South Dakota St.,107.0,104.2
George Mason,105.8,103.2
Boston College,114.3,111.8
Nevada,109.5,107.3
Long Beach St.,104.9,102.7
Akron,105.0,102.9
IPFW,110.1,108.0
Illinois St.,101.9,99.9
Pacific,109.5,107.5
Quinnipiac,111.3,109.4
Temple,110.7,109.1
USC,103.5,102.0
Duquesne,110.6,109.0
Yale,102.8,101.5
Santa Clara,107.3,106.1
UCF,107.1,106.1
UAB,104.1,103.1
Missouri St.,106.5,105.5
Holy Cross,104.5,103.5
Pepperdine,107.8,106.9
Bucknell,103.0,102.1
Arkansas St.,106.6,106.0
Brown,101.1,100.5
Valparaiso,104.2,103.7
Siena,101.6,101.3
Southern Illinois,106.1,106.0
William & Mary,112.6,112.4
USC Upstate,105.0,104.9
Milwaukee 5,104.7,104.6
Stony Brook,105.4,105.4
Rutgers,106.5,106.9
Charlotte,102.7,103.2
Weber St. 6,106.4,107.0
Robert Morris,105.8,106.5
Virginia Tech,100.1,100.8
Old Dominion,100.7,101.4
Cal Poly 6,103.6,104.4
Nebraska Omaha,104.5,105.4
Loyola Marymount,105.7,106.6
Western Kentucky,101.1,102.1
Morehead St.,102.9,103.9
Albany 6,102.9,103.9
Florida Gulf Coast,100.0,101.1
DePaul,106.1,107.3
Colgate,108.5,109.7
Northwestern St.,108.6,109.9
Youngstown St.,107.9,109.3
Drake,105.0,106.5
Oral Roberts,108.0,109.6
Wagner,98.6,100.3
Washington St.,101.7,103.6
South Florida,102.4,104.3
Wofford 5,100.6,102.6
Kent St.,104.1,106.2
Oakland,109.9,112.0
Detroit,101.4,103.6
Bryant,106.0,108.5
Sam Houston St.,105.8,108.4
Southern,97.6,100.2
St. Francis NY,98.9,101.5
College of Charleston,98.1,100.9
Fordham,108.8,111.7
Elon,104.6,107.5
Northeastern,101.4,104.5
Utah Valley,102.8,106.0
Mississippi St.,100.3,103.6
Marist,101.6,105.5
Bowling Green,93.0,96.9
Northern Illinois,94.4,98.3
Mount St. Mary's 6,107.8,111.7
VMI,108.3,112.2
Evansville,103.1,107.3
TCU,99.4,103.7
Hampton,96.4,100.8
Bradley,100.2,104.6
UT Arlington,105.9,110.3
Montana,107.4,111.9
Rider,106.9,111.4
Miami OH,98.9,103.5
Arkansas Little Rock,101.1,105.8
Charleston Southern,106.1,111.0
Coastal Carolina 6,98.2,103.2
Dartmouth,103.6,108.6
Cal St. Northridge,106.3,111.4
Morgan St.,100.4,105.5
Cal St. Bakersfield,100.8,105.9
Southeast Missouri St.,108.4,113.7
Northern Colorado,108.8,114.1
