Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1113,1160,-9.5,117.6,102.9,105.4,99.7,1
1113,1428,-8.0,117.6,102.9,111.9,100.0,0
1113,1143,-10.0,117.6,102.9,98.7,105.5,1
1113,1390,-3.5,117.6,102.9,108.5,99.7,0
1113,1333,-12.0,117.6,102.9,108.8,101.4,1
1113,1332,-7.0,117.6,102.9,110.9,100.3,0
1113,1428,-3.0,117.6,102.9,111.9,100.0,1
1113,1160,-9.0,117.6,102.9,105.4,99.7,0
1113,1462,+6.5,117.6,102.9,120.7,99.0,1
1113,1243,-4.0,117.6,102.9,112.2,97.4,1
1113,1414,-13.0,117.6,102.9,100.5,98.0,1
1113,1319,-25.5,117.6,102.9,93.9,109.5,1
1113,1355,-1.5,117.6,102.9,114.5,104.0,1
1113,1226,-20.5,117.6,102.9,103.6,109.1,1
1113,1112,-6.0,117.6,102.9,119.0,99.6,0
1113,1334,-20.0,117.6,102.9,107.2,106.9,1
1113,1255,-37.5,117.6,102.9,89.9,110.4,1
1113,1435,-12.0,117.6,102.9,115.6,107.5,1
1113,1242,-12.5,117.6,102.9,120.9,97.7,1
1113,1385,-5.0,117.6,102.9,106.7,96.6,1
1113,1362,-16.5,117.6,102.9,103.1,100.8,1
1113,1333,-1.5,117.6,102.9,108.8,101.4,0
1113,1332,-4.0,117.6,102.9,110.9,100.3,0
1113,1112,-1.0,117.6,102.9,119.0,99.6,0
1113,1417,-5.0,117.6,102.9,116.4,102.0,1
1113,1425,-3.0,117.6,102.9,115.4,100.1,1
1113,1450,-8.0,117.6,102.9,108.8,110.2,1
1113,1449,-2.5,117.6,102.9,106.3,99.2,0
1113,1160,-7.0,117.6,102.9,105.4,99.7,0
1113,1390,-8.0,117.6,102.9,108.5,99.7,0
1113,1143,-14.0,117.6,102.9,98.7,105.5,1
