Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1242,1246,+7.0,121.9,94.5,119.1,91.4,1
1242,1452,+3.0,121.9,94.5,116.5,89.4,0
1242,1400,-16.5,121.9,94.5,104.2,93.7,1
1242,1235,-2.5,121.9,94.5,119.7,96.3,1
1242,1329,-13.5,121.9,94.5,126.0,103.5,1
1242,1328,-12.5,121.9,94.5,107.4,95.9,1
1242,1403,-11.5,121.9,94.5,112.6,97.5,1
1242,1243,-13.5,121.9,94.5,113.0,95.6,1
1242,1246,-5.5,120.0,90.4,121.8,96.6,1
1242,1235,+1.0,120.0,90.4,121.2,100.3,0
1242,1400,-12.5,120.0,90.4,113.0,96.8,1
1242,1329,-9.0,120.0,90.4,106.4,98.6,0
1242,1395,-23.0,120.0,90.4,101.6,98.5,1
1242,1452,-1.0,120.0,90.4,115.3,90.9,0
1242,1403,-7.0,120.0,90.4,113.2,99.4,1
1242,1328,-7.0,120.0,90.4,117.9,94.1,1
1242,1124,-12.0,120.0,90.4,118.9,99.8,1
1242,1243,-11.5,114.5,91.8,106.6,98.4,1
1242,1395,-4.0,114.5,91.8,108.8,96.6,1
1242,1400,+4.0,114.5,91.8,112.4,93.4,1
1242,1328,-5.5,114.5,91.8,112.5,89.7,1
1242,1253,-25.5,121.9,94.5,104.6,110.1,1
1242,1208,-13.5,121.9,94.5,108.7,96.3,1
1242,1412,-18.5,121.9,94.5,103.9,106.4,1
1242,1373,-23.0,121.9,94.5,106.2,106.3,1
1242,1181,+2.0,121.9,94.5,121.0,96.8,1
1242,1231,-6.0,121.9,94.5,116.1,101.6,0
1242,1435,-2.5,120.0,90.4,113.6,94.9,1
1242,1417,-9.0,120.0,90.4,112.6,101.9,1
1242,NaN,-29.0,120.0,90.4,NaN,NaN,1
1242,1277,-4.5,120.0,90.4,123.4,95.5,0
1242,1294,-29.0,120.0,90.4,103.3,118.0,1
1242,1277,-1.5,114.5,91.8,116.6,94.9,1
1242,1397,-9.0,114.5,91.8,109.5,102.3,1
1242,1348,-8.5,114.5,91.8,103.9,92.2,1
1242,1351,-17.5,114.5,91.8,101.2,101.0,1
1242,1246,+7.0,114.5,91.8,121.3,84.4,0
1242,1364,-16.5,114.5,91.8,109.3,103.3,1
1242,1431,-14.0,119.3,94.7,105.3,99.3,1
1242,1437,-4.5,119.3,94.7,116.3,92.6,0
1242,1448,-14.0,119.3,94.7,106.6,101.6,1
1242,1406,-18.5,119.3,94.7,110.6,107.2,1
1242,1233,-16.5,119.3,94.7,118.6,108.5,1
1242,1181,+5.5,119.3,94.7,124.7,100.4,1
1242,1395,-6.5,121.9,94.5,114.5,97.0,1
1242,1424,-22.5,121.9,94.5,98.3,105.3,1
1242,1172,-15.0,121.9,94.5,108.4,100.7,1
1242,1304,-19.5,121.9,94.5,105.0,99.8,1
1242,1390,-18.0,121.9,94.5,104.8,98.9,1
1242,1414,-16.5,120.0,90.4,106.0,96.9,1
1242,1355,-7.0,120.0,90.4,111.4,101.8,1
1242,1285,-24.5,120.0,90.4,106.9,104.6,1
1242,1333,-13.5,120.0,90.4,110.7,99.1,1
1242,1217,-23.0,120.0,90.4,100.3,101.0,1
1242,1245,-14.0,114.5,91.8,107.4,102.3,1
1242,1396,-8.0,114.5,91.8,105.3,94.2,0
1242,1428,-4.0,114.5,91.8,116.4,89.2,1
1242,,+2.0,114.5,91.8,106.0,102.4,1
1242,1196,-8.0,114.5,91.8,107.3,91.9,1
1242,1405,-15.0,119.3,94.7,115.0,109.1,1
1242,,-8.0,119.3,94.7,110.2,105.0,1
1242,1307,-7.5,119.3,94.7,113.5,96.3,1
1242,1196,+3.0,119.3,94.7,116.5,88.0,0
1242,1328,-14.5,121.9,94.5,107.4,95.9,1
1242,1400,-8.5,121.9,94.5,104.2,93.7,1
1242,1395,-12.0,121.9,94.5,114.5,97.0,1
1242,1124,+2.0,121.9,94.5,117.1,92.9,1
1242,1452,-5.0,121.9,94.5,116.5,89.4,1
1242,1403,-4.5,121.9,94.5,112.6,97.5,1
1242,1243,-3.0,121.9,94.5,113.0,95.6,1
1242,1235,-10.0,121.9,94.5,119.7,96.3,0
1242,1124,-6.5,121.9,94.5,117.1,92.9,1
1242,1400,-3.5,120.0,90.4,113.0,96.8,1
1242,1403,-13.5,120.0,90.4,113.2,99.4,1
1242,1124,-2.5,120.0,90.4,118.9,99.8,1
1242,1243,-5.0,120.0,90.4,108.8,95.4,1
1242,1329,-14.5,120.0,90.4,106.4,98.6,1
1242,1328,+3.0,120.0,90.4,117.9,94.1,1
1242,1452,-7.0,120.0,90.4,115.3,90.9,1
1242,1395,-13.0,120.0,90.4,101.6,98.5,1
1242,1243,-12.0,120.0,90.4,108.8,95.4,1
1242,1400,-7.5,114.5,91.8,112.4,93.4,1
1242,1243,-5.0,114.5,91.8,106.6,98.4,0
1242,1395,-13.0,114.5,91.8,108.8,96.6,1
1242,1452,-1.5,114.5,91.8,112.6,94.9,0
1242,1332,-6.5,121.9,94.5,118.2,93.2,0
1242,1345,-5.0,121.9,94.5,117.0,93.9,1
1242,1277,-7.5,121.9,94.5,111.4,95.9,1
1242,1413,-22.5,121.9,94.5,97.8,102.2,1
1242,1395,-8.5,121.9,94.5,114.5,97.0,0
1242,1329,-1.5,121.9,94.5,126.0,103.5,1
1242,1437,-2.0,120.0,90.4,122.8,90.8,0
1242,1268,-5.5,120.0,90.4,116.2,95.9,1
1242,1163,-7.5,120.0,90.4,111.9,93.2,1
1242,1122,-24.5,120.0,90.4,104.5,109.6,1
1242,1452,-5.0,120.0,90.4,115.3,90.9,1
1242,1124,-7.0,120.0,90.4,118.9,99.8,1
1242,1243,-12.5,120.0,90.4,108.8,95.4,1
1242,1235,-11.0,120.0,90.4,121.2,100.3,1
1242,1308,-9.5,114.5,91.8,107.4,100.8,1
1242,1235,-2.5,114.5,91.8,119.0,97.5,0
1242,1124,-1.5,114.5,91.8,116.6,94.5,1
1242,1395,-8.5,114.5,91.8,108.8,96.6,1
1242,1328,+6.0,114.5,91.8,112.5,89.7,0
1242,1452,-9.5,114.5,91.8,112.6,94.9,1
1242,1390,-6.0,119.3,94.7,112.4,96.4,0
1242,1184,-13.0,119.3,94.7,112.4,108.4,1
1242,1235,-5.0,119.3,94.7,118.9,97.8,0
1242,1329,-3.5,119.3,94.7,115.9,95.0,1
1242,1452,-5.0,119.3,94.7,115.5,103.2,0
