Nov 29, 2017,NEWOR,66,HOUST,75,L,0.0,,0.0,
Nov 26, 2017,NEWOR,52,S.ALA,55,L,0.0,,0.0,
Nov 24, 2017,SPRNG,67,NEWOR,74,W,0.0,,0.0,
Nov 21, 2017,NEWOR,52,MEMPH,63,L,0.0,,0.0,
Nov 13, 2017,NEWOR,68,OAKLN,87,L,0.0,,0.0,
Nov 10, 2017,NEWOR,61,STJON,77,L,0.0,,0.0,
Nov 29, 2016,TULAN,59,NEWOR,74,W,0.0,,0.0,
Nov 25, 2016,FLACOL,63,NEWOR,90,W,0.0,,0.0,
Nov 22, 2016,NEWOR,54,USC,88,L,0.0,,0.0,
Nov 19, 2016,NEWOR,68,TULSA,77,L,0.0,,0.0,
Nov 16, 2016,NEWOR,72,OKST,117,L,0.0,,0.0,
Nov 11, 2016,LAGRNG,67,NEWOR,103,W,0.0,,0.0,
Nov 28, 2015,NEWOR,63,NWEST,90,L,0.0,,0.0,
Nov 25, 2015,NEWOR,64,BRAD,51,W,0.0,,0.0,
Nov 19, 2015,PENSAC,57,NEWOR,94,W,0.0,,0.0,
Nov 16, 2015,NEWOR,75,DUQU,95,L,0.0,,0.0,
Nov 14, 2015,NEWOR,61,BOWLG,79,L,0.0,,0.0,
Nov 30, 2014,NEWOR,60,DENVR,79,L,0.0,,0.0,
Nov 28, 2014,NEWOR,65,TEXAM,87,L,-26.0,W,0.0,
Nov 20, 2014,NEWOR,71,TCU,86,L,0.0,,0.0,
Nov 18, 2014,PENSAC,61,NEWOR,88,W,0.0,,0.0,
Nov 27, 2013,NEWOR,58,HAWAI,91,L,0.0,,0.0,
Nov 23, 2013,BOISE,100,NEWOR,80,L,0.0,,0.0,
Nov 19, 2013,NEWOR,54,LSU,81,L,0.0,,0.0,
Nov 12, 2013,MILSP,45,NEWOR,81,W,0.0,,0.0,
Nov 29, 2012,SEMIZ,83,NEWOR,67,L,0.0,,0.0,
Nov 26, 2012,NEWOR,79,NICHL,92,L,0.0,,0.0,
Nov 20, 2012,BLUMNT,51,NEWOR,99,W,0.0,,0.0,
Nov 15, 2012,BCOOK,71,NEWOR,65,L,0.0,,0.0,
Nov 12, 2012,S.ILL,72,NEWOR,55,L,0.0,,0.0,
