Nov 30, 2017,CAMBP,85,STETS,78,W,0.0,,0.0,
Nov 26, 2017,USCUP,74,CAMBP,93,W,0.0,,0.0,
Nov 25, 2017,BOWLG,78,CAMBP,72,L,0.0,,0.0,
Nov 24, 2017,ABILE,85,CAMBP,80,L,0.0,,0.0,
Nov 20, 2017,J&WCH,53,CAMBP,98,W,0.0,,0.0,
Nov 18, 2017,CAMBP,84,NCWIL,88,L,0.0,,0.0,
Nov 13, 2017,CLMINT,44,CAMBP,108,W,0.0,,0.0,
Nov 10, 2017,CAMBP,75,PENST,86,L,0.0,,0.0,
Nov 28, 2016,ALLEN,60,CAMBP,92,W,0.0,,0.0,
Nov 26, 2016,CAMBP,67,VMI,53,W,0.0,,0.0,
Nov 21, 2016,SAMFD,66,CAMBP,53,L,0.0,,0.0,
Nov 19, 2016,CAMBP,66,MORGN,82,L,0.0,,0.0,
Nov 15, 2016,BWATR,45,CAMBP,101,W,0.0,,0.0,
Nov 11, 2016,CAMBP,65,OKST,102,L,0.0,,0.0,
Nov 30, 2015,VMI,65,CAMBP,66,W,0.0,,0.0,
Nov 28, 2015,COCAR,73,CAMBP,79,W,0.0,,0.0,
Nov 24, 2015,CAMBP,77,SIUED,74,W,0.0,,0.0,
Nov 21, 2015,MORGN,59,CAMBP,54,L,0.0,,0.0,
Nov 16, 2015,CAMBP,57,SAVAN,59,L,0.0,,0.0,
Nov 13, 2015,MONTR,42,CAMBP,87,W,0.0,,0.0,
Nov 30, 2014,CAMBP,62,SACRD,71,L,0.0,,0.0,
Nov 26, 2014,CAMBP,64,OHIOS,91,L,-32.0,W,0.0,
Nov 22, 2014,COLGT,54,CAMBP,48,L,0.0,,0.0,
Nov 18, 2014,CAMBP,51,DAVID,86,L,0.0,,0.0,
Nov 14, 2014,BARBSC,58,CAMBP,97,W,0.0,,0.0,
Nov 30, 2013,CAMBP,75,GASOU,73,W,0.0,,0.0,
Nov 27, 2013,STAND,55,CAMBP,62,W,0.0,,0.0,
Nov 20, 2013,CAMBP,62,CINCY,81,L,0.0,,0.0,
Nov 18, 2013,CAMBP,43,NCCEN,62,L,0.0,,0.0,
Nov 16, 2013,CAMBP,66,NCST,81,L,0.0,,0.0,
