Jan 29, 2018,N.FLA,70,FLAGC,103,W,0.0,,0.0,
Jan 27, 2018,JAXVL,62,FLAGC,68,W,0.0,,0.0,
Jan 24, 2018,FLAGC,96,N.FLA,87,W,0.0,,0.0,
Jan 20, 2018,FLAGC,66,KENNE,49,W,0.0,,0.0,
Jan 18, 2018,FLAGC,88,LIPSC,83,W,0.0,,0.0,
Jan 13, 2018,NJIT,54,FLAGC,68,W,0.0,,0.0,
Jan 11, 2018,USCUP,58,FLAGC,75,W,0.0,,0.0,
Jan 6, 2018,STETS,52,FLAGC,90,W,0.0,,0.0,
Jan 30, 2017,N.FLA,59,FLAGC,74,W,0.0,,0.0,
Jan 28, 2017,JAXVL,56,FLAGC,78,W,0.0,,0.0,
Jan 25, 2017,FLAGC,86,N.FLA,82,W,0.0,,0.0,
Jan 21, 2017,NJIT,71,FLAGC,84,W,0.0,,0.0,
Jan 19, 2017,USCUP,62,FLAGC,60,L,0.0,,0.0,
Jan 14, 2017,FLAGC,84,LIPSC,80,W,0.0,,0.0,
Jan 12, 2017,FLAGC,78,KENNE,75,W,0.0,,0.0,
Jan 7, 2017,FLAGC,89,STETS,88,W,0.0,,0.0,
Jan 30, 2016,FLAGC,76,N.FLA,82,L,0.0,,0.0,
Jan 27, 2016,JAXVL,78,FLAGC,69,L,0.0,,0.0,
Jan 24, 2016,FLAGC,75,LIPSC,91,L,0.0,,0.0,
Jan 21, 2016,FLAGC,79,KENNE,74,W,0.0,,0.0,
Jan 16, 2016,USCUP,56,FLAGC,85,W,0.0,,0.0,
Jan 14, 2016,NJIT,78,FLAGC,82,W,0.0,,0.0,
Jan 9, 2016,STETS,53,FLAGC,82,W,0.0,,0.0,
Jan 5, 2016,WEBINT,59,FLAGC,104,W,0.0,,0.0,
Jan 2, 2016,ECKRD,57,FLAGC,68,W,0.0,,0.0,
Jan 31, 2015,N.KENT,64,FLAGC,74,W,0.0,,0.0,
Jan 29, 2015,LIPSC,62,FLAGC,78,W,0.0,,0.0,
Jan 24, 2015,FLAGC,54,KENNE,48,W,0.0,,0.0,
Jan 22, 2015,FLAGC,71,USCUP,68,W,0.0,,0.0,
Jan 17, 2015,JAXVL,50,FLAGC,79,W,0.0,,0.0,
