Jan 29, 2018,MD-ES,68,COPIN,71,L,0.0,,0.0,
Jan 27, 2018,HOWRD,85,MD-ES,75,L,0.0,,0.0,
Jan 22, 2018,NCCEN,63,MD-ES,60,L,0.0,,0.0,
Jan 20, 2018,NCA&T,66,MD-ES,64,L,0.0,,0.0,
Jan 15, 2018,MD-ES,62,SC.ST,66,L,0.0,,0.0,
Jan 13, 2018,MD-ES,59,SAVAN,87,L,0.0,,0.0,
Jan 8, 2018,BCOOK,89,MD-ES,84,L,0.0,,0.0,
Jan 6, 2018,HAMPT,83,MD-ES,92,W,0.0,,0.0,
Jan 3, 2018,MD-ES,82,MORGN,85,L,0.0,,0.0,
Jan 30, 2017,SAVAN,87,MD-ES,82,L,0.0,,0.0,
Jan 28, 2017,SC.ST,69,MD-ES,92,W,0.0,,0.0,
Jan 23, 2017,MD-ES,86,FLA&M,79,W,0.0,,0.0,
Jan 21, 2017,MD-ES,82,BCOOK,79,W,0.0,,0.0,
Jan 14, 2017,HOWRD,74,MD-ES,66,L,0.0,,0.0,
Jan 11, 2017,MD-ES,52,NCCEN,69,L,0.0,,0.0,
Jan 9, 2017,MD-ES,99,NCA&T,88,W,0.0,,0.0,
Jan 2, 2017,VLFORG,65,MD-ES,90,W,0.0,,0.0,
Jan 30, 2016,MD-ES,83,COPIN,81,W,0.0,,0.0,
Jan 23, 2016,BCOOK,72,MD-ES,74,W,0.0,,0.0,
Jan 18, 2016,MD-ES,63,SC.ST,68,L,0.0,,0.0,
Jan 16, 2016,MD-ES,61,SAVAN,68,L,0.0,,0.0,
Jan 11, 2016,MORGN,65,MD-ES,69,W,0.0,,0.0,
Jan 6, 2016,MD-ES,75,COLUM,81,L,0.0,,0.0,
Jan 2, 2016,MD-ES,58,PITT,92,L,0.0,,0.0,
Jan 31, 2015,COPIN,82,MD-ES,92,W,0.0,,0.0,
Jan 26, 2015,MD-ES,72,FLA&M,65,W,0.0,,0.0,
Jan 24, 2015,MD-ES,74,BCOOK,70,W,0.0,,0.0,
Jan 19, 2015,SC.ST,73,MD-ES,72,L,0.0,,0.0,
Jan 17, 2015,SAVAN,57,MD-ES,87,W,0.0,,0.0,
Jan 12, 2015,MD-ES,78,MORGN,53,W,0.0,,0.0,
