team,adjO,adjD
Gonzaga,118.4,86.3
Villanova,122.4,92.5
North Carolina,120.7,92.5
Kentucky,119.1,91.4
Florida,116.9,89.5
Kansas,121.9,94.5
West Virginia,116.5,89.4
Wichita St.,118.7,92.6
Louisville,117.2,91.7
Oregon,118.2,93.2
SMU,119.8,95.0
Virginia,112.2,88.0
Baylor,117.1,92.9
Duke,121.0,96.8
Saint Mary's,118.7,95.0
UCLA,124.0,100.4
Iowa St.,119.7,96.3
Arizona,118.4,95.1
Purdue,117.0,93.9
Michigan,122.3,99.2
Wisconsin,115.1,92.1
Oklahoma St.,126.0,103.5
Cincinnati,114.9,92.8
South Carolina,108.9,88.1
Butler,117.7,97.0
Florida St.,115.5,95.5
Notre Dame,118.1,98.4
Creighton,115.3,96.5
TCU,114.5,97.0
Kansas St.,113.0,95.6
Xavier,115.7,99.0
Marquette,120.8,104.2
Vanderbilt,112.4,95.9
Rhode Island,111.5,95.2
Arkansas,116.1,99.8
Wake Forest,120.9,104.7
Minnesota,109.7,93.7
Northwestern,111.3,95.5
Dayton,111.9,96.3
Michigan St.,111.4,95.9
Texas Tech,112.6,97.5
Miami FL,109.9,94.9
Middle Tennessee,112.2,97.2
Indiana,116.1,101.6
Clemson,114.9,100.5
Maryland,113.1,98.7
Utah,113.5,99.3
VCU,110.1,96.0
Illinois St.,107.6,93.6
Virginia Tech,117.3,103.5
Seton Hall,109.4,95.8
Houston,113.5,99.9
USC,114.2,100.7
Nevada,114.6,101.3
Syracuse,115.7,102.3
Alabama,105.3,92.2
Tennessee,110.1,97.5
Princeton,109.0,96.4
UNC Wilmington,118.0,105.5
Providence,108.5,96.0
Georgia,108.7,96.3
California,104.9,92.7
Vermont,111.1,99.4
Texas A&M,108.7,97.3
Oklahoma,107.4,95.9
Illinois,107.2,95.8
East Tennessee St.,108.0,96.9
UCF,104.2,93.3
Georgetown,108.4,97.7
Texas,104.2,93.7
Iowa,113.0,102.5
Colorado,112.6,102.3
Ohio St.,111.2,101.0
Mississippi,111.1,100.9
UT Arlington,110.6,100.8
Bucknell,109.7,100.3
Georgia Tech,100.0,91.0
San Diego St.,104.0,95.1
Pittsburgh,112.4,103.7
BYU,109.1,100.5
Monmouth,109.1,100.5
Auburn,111.9,103.3
Belmont,110.8,102.7
