team,adjO,adjD
Villanova,122.8,90.8
North Carolina,124.4,94.6
Kansas,120.0,90.4
Virginia,120.6,91.0
Michigan St.,123.4,95.5
Kentucky,121.8,96.6
Louisville,113.4,88.8
West Virginia,115.3,90.9
Purdue,116.9,93.1
Oklahoma,117.9,94.1
Indiana,121.7,98.7
Oregon,119.1,96.4
Wichita St.,111.3,88.7
Xavier,117.1,94.6
Miami FL,119.4,96.9
SMU,119.3,97.3
Duke,121.9,100.0
Texas A&M,113.8,92.5
Arizona,116.8,95.8
Iowa St.,121.2,100.3
Gonzaga,116.3,95.5
Maryland,116.2,95.9
Iowa,116.1,95.9
Baylor,118.9,99.8
Vanderbilt,113.6,94.9
Connecticut,111.9,93.2
Syracuse,112.7,94.1
California,112.5,94.2
Seton Hall,111.1,92.9
Butler,118.0,100.7
VCU,112.1,95.0
Cincinnati,111.2,94.1
Utah,115.6,98.8
Saint Mary's,117.3,100.6
Florida,110.5,93.9
Notre Dame,120.6,104.0
Pittsburgh,114.9,98.3
Wisconsin,110.1,93.6
Texas,113.0,96.8
Creighton,113.4,97.6
Stephen F. Austin,112.2,96.6
Valparaiso,107.5,92.0
Saint Joseph's,114.3,98.9
Providence,110.0,95.5
Clemson,113.3,98.9
San Diego St.,104.8,90.5
Yale,110.4,96.0
Florida St.,113.1,98.9
USC,113.9,99.7
Michigan,114.6,100.5
Georgia Tech,113.8,99.6
BYU,113.1,99.2
George Washington,114.8,101.0
Texas Tech,113.2,99.4
Kansas St.,108.8,95.4
Arkansas Little Rock,109.2,96.0
Colorado,108.8,95.9
South Carolina,109.0,96.2
Dayton,106.6,94.0
Hawaii,108.2,96.1
Houston,116.7,104.9
Georgetown,111.4,99.7
Virginia Tech,110.6,98.9
Oregon St.,110.7,99.1
Tulsa,111.2,99.7
Washington,110.4,99.2
Northern Iowa,109.6,98.5
Northwestern,111.1,100.1
UCLA,112.6,101.9
Princeton,112.3,101.7
Georgia,107.9,97.3
Evansville,108.3,97.8
Arkansas,110.7,100.3
North Carolina St.,114.1,103.7
Memphis,107.5,97.4
Ohio St.,107.0,97.0
Mississippi,111.9,102.0
Mississippi St.,110.1,100.5
Oakland,116.3,106.7
South Dakota St.,111.4,101.8
LSU,111.9,102.3
Rhode Island,108.4,99.0
UNC Wilmington,110.7,101.5
UC Irvine,106.0,96.9
Nebraska,110.4,101.6
Temple,107.0,98.1
William & Mary,113.3,104.5
Akron,110.1,101.5
St. Bonaventure,113.7,105.1
Boise St.,109.5,100.9
James Madison,108.1,99.6
Hofstra,111.6,103.2
Arizona St.,109.6,101.2
Stony Brook,107.3,99.1
Monmouth,107.3,99.2
Alabama,105.5,97.4
Marquette,108.0,100.1
Oklahoma St.,106.4,98.6
Richmond,113.6,105.9
Old Dominion,107.0,99.5
Stanford,108.0,100.5
UT Arlington,106.9,99.5
Tennessee,111.0,103.7
Iona,110.5,103.4
UC Santa Barbara,106.3,99.5
Davidson,114.3,107.6
Long Beach St.,108.5,101.9
Fresno St.,107.4,100.8
Chattanooga,107.5,101.0
Cal St. Bakersfield,104.0,97.8
New Mexico St.,103.3,97.2
Louisiana Lafayette,111.0,105.1
Columbia,112.4,106.7
Milwaukee,112.5,107.3
New Mexico,108.3,103.2
UAB,109.3,104.2
UNLV,103.4,98.3
Wake Forest,107.3,102.5
Middle Tennessee,104.6,99.9
Illinois St.,104.0,99.4
Albany,106.9,102.7
College of Charleston,98.6,94.4
Toledo,108.6,104.5
Nevada,102.4,98.5
Illinois,106.9,103.0
Morehead St.,106.6,102.8
Green Bay,108.3,104.6
Siena,108.1,104.5
Belmont,114.0,110.5
Grand Canyon,105.0,101.5
UNC Asheville,103.6,100.1
Northeastern,107.0,103.7
Louisiana Monroe,106.5,103.1
Utah St.,111.2,108.0
IPFW,111.7,108.6
TCU,101.6,98.5
Pepperdine,106.1,103.0
Buffalo,105.9,102.9
Southern Illinois,107.2,104.4
Penn St.,103.4,100.8
Ohio,110.6,108.1
Weber St.,103.4,100.9
Montana,106.9,104.6
Colorado St.,112.3,110.2
North Dakota St.,101.9,99.8
Wright St.,101.4,99.4
Marshall,111.0,109.1
Nebraska Omaha,109.7,107.9
High Point,110.8,109.2
Eastern Michigan,106.7,105.4
Vermont,107.8,106.6
Towson,105.4,104.4
East Tennessee St.,107.7,106.8
Louisiana Tech,104.6,103.7
Ball St.,103.5,102.6
Duquesne,107.6,106.9
Winthrop,108.4,107.7
Central Michigan,110.5,110.0
Missouri,104.7,104.5
Elon,106.6,106.4
Fordham,102.3,102.4
Florida Gulf Coast,103.6,103.7
Murray St.,106.3,106.4
Tennessee St.,101.5,101.6
Northern Illinois,101.6,101.7
Wyoming,108.3,108.5
Massachusetts,102.8,103.1
Indiana St.,99.4,99.8
Western Kentucky,108.6,109.2
Texas A&M Corpus Chris,102.6,103.3
Harvard,100.3,101.0
Bucknell,105.6,106.5
Detroit,110.6,111.5
Oral Roberts,107.6,108.6
Furman,105.0,106.0
Coastal Carolina,101.7,102.8
North Florida,113.9,115.0
Texas Southern,107.3,108.5
Kent St.,106.4,107.8
Georgia St.,99.9,101.2
Western Michigan,103.7,105.4
