team,adjO,adjD
Kansas,120.9,85.7
Memphis,118.0,86.5
North Carolina,122.1,91.9
UCLA,118.0,88.1
Wisconsin,113.5,86.8
Duke,116.3,89.9
Georgetown,115.2,89.7
Louisville,113.1,87.7
Texas,120.6,95.5
Washington St.,115.1,90.8
Davidson,117.0,93.4
Stanford,113.6,90.9
Tennessee,116.2,94.0
Marquette,115.3,93.1
Xavier,117.3,95.2
Clemson,114.0,91.9
Drake,120.0,98.5
West Virginia,114.6,93.3
Michigan St.,115.8,94.7
Butler,116.2,96.2
Texas A&M,112.3,92.3
Pittsburgh,116.5,96.6
Arizona,116.4,97.3
Notre Dame,114.6,95.6
Gonzaga,114.5,95.5
Kansas St.,114.2,95.3
Connecticut,115.2,96.3
USC,110.5,91.9
Indiana,114.6,96.1
Purdue,110.5,92.2
Ohio St.,110.2,92.4
New Mexico,111.1,94.0
Mississippi St.,108.2,91.5
Virginia Tech,107.1,90.8
BYU,107.4,91.7
Oregon,118.8,103.1
Miami FL,112.5,97.1
Florida,115.9,100.5
Nebraska,108.0,92.7
Arkansas,111.4,96.2
Baylor,115.7,100.9
Saint Mary's,109.2,94.6
Western Kentucky,111.9,97.3
Oklahoma,109.5,95.1
Saint Joseph's,115.1,100.8
Villanova,109.2,95.0
Syracuse,112.6,98.4
UNLV,110.2,96.5
Arizona St.,110.2,96.6
Mississippi,114.2,100.7
Illinois,107.5,94.0
Massachusetts,110.5,97.3
Georgia Tech,114.5,101.4
Missouri,113.3,100.2
Kent St.,107.8,94.8
Vanderbilt,112.3,99.6
Temple,112.8,100.4
Illinois St.,106.2,93.9
Florida St.,108.7,96.4
Dayton,111.8,99.7
UAB,110.7,98.6
Southern Illinois,105.7,93.7
Maryland,107.1,95.1
Utah,110.2,98.3
South Alabama,112.6,100.8
IUPUI,116.5,104.8
California,115.8,104.3
VCU,104.7,93.2
Washington,109.7,98.4
Minnesota,108.4,97.1
Houston,114.2,102.9
Rhode Island,115.1,103.9
Wake Forest,107.7,96.9
Creighton,108.7,97.9
Oklahoma St.,109.1,98.4
Akron,110.9,100.4
Oral Roberts,104.7,94.5
Kentucky,107.8,97.8
Duquesne,108.9,99.0
George Mason,110.7,101.0
Miami OH,108.4,98.7
Tulsa,106.2,96.6
Texas Tech,107.7,98.1
Charlotte,104.6,95.1
Providence,110.1,100.8
Alabama,110.9,101.7
Bradley,111.8,102.7
Cal St. Fullerton,112.3,103.9
Missouri St.,108.2,99.8
Virginia,110.5,102.4
Georgia,104.3,96.2
San Diego St.,104.9,96.9
Siena,108.6,100.7
Western Michigan,108.1,100.2
Ohio,109.7,102.1
Stephen F. Austin,107.6,100.1
UCF,109.1,102.0
Southern Miss,108.3,101.3
UNC Greensboro,108.1,101.2
New Mexico St.,108.1,101.3
