team,adjO,adjD
Ohio St.,125.0,91.5
Duke,119.7,91.3
Kansas,118.9,90.6
Pittsburgh,120.6,93.5
Texas,115.5,89.6
Wisconsin,122.3,96.5
Kentucky,117.8,92.0
San Diego St.,114.1,89.1
Purdue,115.9,91.1
Connecticut,115.8,91.9
Notre Dame,120.9,97.7
BYU,117.5,94.3
Syracuse,114.9,92.4
Louisville,111.4,89.2
North Carolina,111.8,89.6
Washington,117.7,96.0
Florida,115.8,95.2
Illinois,113.3,93.1
West Virginia,114.9,94.8
Arizona,117.4,97.8
Cincinnati,111.1,91.7
Utah St.,111.2,91.8
Belmont,112.6,94.1
George Mason,114.1,95.8
Clemson,109.6,91.5
Marquette,115.5,97.3
Wichita St.,113.9,95.9
Villanova,114.9,97.0
UNLV,110.6,92.9
Michigan,112.8,95.1
Georgetown,114.2,96.6
Kansas St.,111.1,93.6
Vanderbilt,116.6,99.2
Temple,110.5,93.7
Florida St.,104.5,87.7
Butler,112.3,95.9
Gonzaga,112.1,95.6
Xavier,112.8,96.8
Richmond,112.6,96.5
Virginia Tech,109.7,93.7
St. John's,111.2,95.3
Missouri,113.4,97.8
Saint Mary's,117.2,101.7
Maryland,109.7,94.4
Michigan St.,109.5,94.4
Penn St.,113.1,98.3
New Mexico,111.9,97.2
Old Dominion,110.0,95.4
Texas A&M,110.0,95.4
Northwestern,116.8,102.7
Alabama,104.6,90.9
UCLA,108.7,95.1
VCU,112.0,98.5
Colorado,117.7,104.3
Duquesne,108.0,94.7
Oakland,118.6,105.3
USC,107.9,94.6
Minnesota,110.5,97.4
Seton Hall,104.4,91.5
Washington St.,108.1,95.3
Miami FL,112.8,100.2
Tennessee,108.0,95.6
Georgia,108.2,95.9
Nebraska,104.9,93.1
UAB,108.8,97.2
Iona,113.6,102.0
Boston College,116.8,105.5
Cleveland St.,109.1,98.0
Missouri St.,114.0,102.9
College of Charleston,114.5,103.5
Harvard,112.4,101.8
UTEP,105.0,94.6
Oklahoma St.,106.7,96.5
Southern Miss,112.0,101.8
California,109.9,99.8
Mississippi,113.0,103.1
Colorado St.,108.6,99.1
Rutgers,108.6,99.1
Princeton,107.2,98.1
Baylor,107.1,98.1
Iowa St.,108.1,99.4
Indiana,110.3,101.7
Boise St.,108.2,100.0
Wofford,112.3,104.2
Marshall,108.6,100.6
Providence,110.1,102.8
North Carolina St.,109.9,102.7
Iowa,103.9,96.8
Morehead St.,105.6,98.6
Memphis,104.5,97.6
Tulsa,107.1,100.2
Oregon,106.6,99.7
Drexel,99.7,92.9
Long Beach St.,106.7,100.1
Valparaiso,106.4,99.8
Bucknell,105.8,99.2
Dayton,104.8,98.3
Creighton,109.9,103.5
Kent St.,105.7,99.5
Georgia Tech,102.3,96.0
Portland,111.5,105.3
Stanford,104.7,98.6
Virginia,104.0,98.0
Fairfield,98.7,92.8
UCF,105.7,99.9
James Madison,108.3,102.6
Northern Iowa,109.0,103.3
Indiana St.,102.8,97.4
LIU Brooklyn,109.6,104.2
South Dakota St.,115.9,110.5
Wright St.,105.0,99.8
East Tennessee St.,104.1,98.9
Arkansas,106.2,101.0
Montana,101.8,96.8
Buffalo,104.0,99.1
Santa Clara,107.9,103.3
Coastal Carolina,104.9,100.4
Akron,103.7,99.6
Northern Colorado,106.3,102.2
Rhode Island,103.5,99.5
Texas Tech,107.2,103.4
IUPUI,111.5,107.7
Oral Roberts,110.2,106.4
Northern Arizona,106.0,102.4
Rider,107.0,103.5
Air Force,107.2,103.8
Saint Louis,99.5,96.0
Vermont,102.4,99.1
South Florida,103.7,100.4
South Carolina,101.2,98.0
Detroit,107.0,103.8
UC Santa Barbara,103.7,100.5
Mississippi St.,107.5,104.4
Murray St.,105.0,102.0
Hofstra,108.9,106.1
Loyola Chicago,105.9,103.1
Saint Peter's,95.2,92.5
Milwaukee,104.8,102.1
Arizona St.,104.0,101.3
Austin Peay,103.6,100.9
Utah,103.6,101.0
Furman,105.3,102.9
Idaho,104.7,102.4
Oklahoma,104.7,102.5
New Mexico St.,105.5,103.3
Davidson,105.6,103.4
Pacific,105.6,103.6
San Francisco,102.9,100.9
Ohio,107.4,105.5
UNC Asheville,101.9,100.0
St. Bonaventure,106.6,104.7
Robert Morris,103.2,101.4
Lipscomb,106.8,105.3
East Carolina,105.3,103.9
Rice,105.2,104.3
Jacksonville,98.8,98.0
Central Connecticut,100.8,100.1
Green Bay,104.5,103.8
Oregon St.,102.8,102.3
Nevada,104.3,103.9
SMU,103.5,103.1
North Dakota St.,104.8,104.4
Hawaii,100.6,100.2
Ball St.,103.4,103.3
Quinnipiac,104.4,104.4
Western Michigan,104.0,104.1
Cal Poly,97.9,98.0
Evansville,101.9,102.1
Weber St.,104.1,104.4
Boston University,103.4,103.9
TCU,102.4,102.9
La Salle,106.7,107.3
American,104.1,104.7
North Texas,109.0,109.8
George Washington,101.3,102.0
IPFW,105.8,106.7
Fresno St.,101.9,102.9
San Jose St.,105.1,106.3
Sam Houston St.,103.1,104.4
Massachusetts,98.4,99.7
Loyola MD,103.4,105.0
Yale,99.5,101.1
Canisius,103.0,104.6
Western Carolina,98.7,100.5
Penn,101.8,103.7
Florida Atlantic,102.9,104.8
Saint Joseph's,106.1,108.2
Miami OH,105.5,107.6
Middle Tennessee,98.5,100.7
Lehigh,102.7,104.9
Tulane,102.4,104.7
Cornell,105.2,107.6
Bradley,101.3,103.7
Northeastern,108.8,111.4
Arkansas St.,100.9,103.6
Delaware,100.4,103.5
DePaul,103.1,106.4
Loyola Marymount,102.1,105.4
VMI,110.6,113.9
Maine,104.8,108.2
Drake,101.4,104.9
Mercer,101.1,104.8
Siena,99.1,102.9
UNC Wilmington,102.0,105.9
St. Francis NY,98.9,102.7
McNeese St.,105.5,109.4
Charlotte,101.5,105.5
Hampton,94.4,98.7
Stephen F. Austin,96.6,100.9
Tennessee Tech,100.9,105.2
Charleston Southern,102.9,107.2
Appalachian St.,104.7,109.0
Southern Illinois,97.0,101.4
Columbia,101.3,105.8
Arkansas Little Rock,101.1,105.6
Western Kentucky,100.5,105.1
Georgia St.,94.9,99.5
UC Irvine,102.6,107.2
Denver,100.0,104.7
North Florida,99.7,104.5
Winthrop,96.3,101.1
Houston,101.4,106.4
Cal St. Northridge,100.6,105.7
Pepperdine,104.6,109.7
Lafayette,103.0,108.2
William & Mary,103.0,108.3
UTSA,101.8,107.1
Holy Cross,101.6,106.9
Wyoming,98.5,103.9
Wagner,100.4,105.9
Liberty,97.6,103.1
LSU,95.6,101.2
Stony Brook,93.7,99.4
Auburn,96.9,102.7
Nicholls St.,97.2,103.0
Louisiana Lafayette,98.7,104.7
Illinois St.,96.4,102.5
Brown,102.9,109.4
Eastern Kentucky,102.3,108.9
Elon,104.3,110.9
Tennessee St.,102.1,108.8
Bowling Green,97.8,104.5
Albany,101.7,108.6
Lamar,100.3,107.2
Louisiana Tech,95.6,102.7
UC Davis,102.8,109.9
Morgan St.,94.8,102.1
Campbell,97.8,105.5
Mount St. Mary's,94.9,102.6
Montana St.,100.2,108.0
Texas St.,100.3,108.3
Youngstown St.,100.0,108.0
Presbyterian,101.5,109.5
Illinois Chicago,96.5,104.5
Utah Valley,100.8,108.8
UT Arlington,96.7,104.8
Southeastern Louisiana,98.8,107.3
Cal St. Fullerton,104.8,113.3
Wake Forest,100.4,109.0
Southern Utah,100.6,109.5
Northwestern St.,101.1,110.1
Eastern Washington,99.1,108.1
Savannah St.,91.1,100.3
Sacred Heart,99.2,108.6
UC Riverside,97.8,107.2
Chattanooga,99.1,108.5
Portland St.,104.2,113.7
Coppin St.,98.5,108.0
Seattle,92.9,102.6
Gardner Webb,95.2,105.0
UMKC,101.9,111.6
Navy,93.2,103.0
Central Michigan,92.0,102.0
Northern Illinois,99.1,109.2
Troy,97.8,108.0
Texas Southern,93.2,103.5
Jackson St.,95.7,106.1
Towson,105.8,116.3
Army,99.5,110.0
St. Francis PA,99.6,110.1
Monmouth,94.5,105.1
The Citadel,100.9,111.6
Eastern Michigan,89.5,100.3
UNC Greensboro,99.6,110.4
Florida Gulf Coast,94.7,105.8
FIU,100.6,111.9
New Hampshire,91.2,102.6
South Dakota,100.1,111.5
Hartford,92.8,104.5
Fordham,98.0,109.8
Bethune Cookman,100.0,112.1
Jacksonville St.,95.9,108.1
North Carolina A&T,99.1,111.4
San Diego,92.9,105.2
South Alabama,99.8,112.2
Southeast Missouri St.,97.8,110.3
Tennessee Martin,97.5,110.1
Norfolk St.,97.1,109.8
North Dakota,92.7,105.5
Stetson,96.8,109.7
Niagara,92.2,105.2
Idaho St.,98.4,111.4
Alabama St.,92.8,106.0
Eastern Illinois,93.1,106.4
Bryant,100.5,114.3
Delaware St.,99.1,113.1
Cal St. Bakersfield,97.1,111.4
High Point,94.5,109.0
Mississippi Valley St.,93.8,108.3
NJIT,92.9,107.3
Samford,96.4,110.9
Manhattan,96.4,111.1
North Carolina Central,96.0,111.0
Colgate,97.2,112.5
Binghamton,97.7,113.6
Texas A&M Corpus Chris,92.9,109.1
Kennesaw St.,98.5,114.9
Longwood,102.2,118.6
USC Upstate,92.6,109.1
Sacramento St.,93.5,109.9
Dartmouth,90.8,107.4
Marist,94.8,111.4
Alabama A&M,87.0,103.7
Fairleigh Dickinson,93.2,109.8
Florida A&M,88.5,107.1
Louisiana Monroe,94.5,113.5
South Carolina St.,91.7,110.9
Georgia Southern,89.7,109.0
Grambling St.,87.4,107.0
Western Illinois,87.6,107.6
Radford,86.7,107.0
Toledo,91.9,112.6
Texas Pan American,94.1,115.0
Prairie View A&M,86.0,107.7
Maryland Eastern Shore,92.1,114.1
Central Arkansas,90.5,112.6
Houston Baptist,91.2,113.3
Arkansas Pine Bluff,88.9,111.2
UMBC,96.0,118.3
Howard,87.9,112.2
Alcorn St.,86.2,111.5
SIU Edwardsville,86.9,113.2
Chicago St.,89.8,118.4
Centenary,84.0,113.2
Southern,82.3,112.7

