team,adjO,adjD
North Carolina,121.0,89.6
Florida,122.8,92.0
Ohio St.,121.0,91.7
Georgetown,122.0,93.5
Kansas,115.3,87.5
UCLA,115.4,88.3
Texas A&M,119.3,92.3
Wisconsin,115.6,90.1
Memphis,115.4,90.6
Duke,113.2,89.9
Pittsburgh,118.1,95.2
Maryland,112.4,90.0
Kentucky,117.0,95.3
Indiana,115.4,93.8
Butler,118.0,96.5
Southern Illinois,109.8,88.8
Michigan St.,112.8,91.8
Oregon,118.3,97.6
Louisville,113.5,93.1
Air Force,116.5,96.3
Villanova,113.4,93.3
Notre Dame,118.1,98.1
Georgia Tech,116.9,97.3
Arizona,119.5,100.1
Texas,119.5,100.3
Mississippi St.,113.5,94.5
Washington St.,111.7,92.8
Creighton,113.8,95.3
Clemson,112.3,93.9
Purdue,110.7,92.4
Tennessee,115.9,97.6
Xavier,117.3,99.2
West Virginia,116.5,98.5
Florida St.,116.2,98.4
Missouri St.,113.4,95.9
Illinois,107.3,89.8
Virginia Tech,112.4,95.0
Marquette,111.8,94.6
USC,111.0,94.2
Syracuse,112.0,95.2
UNLV,112.6,95.8
Arkansas,110.6,93.9
Vanderbilt,115.7,99.4
Boston College,117.3,101.1
Akron,115.2,99.1
BYU,116.7,100.6
Nevada,117.2,101.2
Virginia,114.1,98.7
Gonzaga,115.3,100.0
DePaul,111.5,96.3
Winthrop,112.9,98.0
VCU,116.6,102.0
Bradley,115.9,101.5
LSU,107.8,93.5
Georgia,111.0,96.7
Connecticut,104.0,90.2
Kansas St.,109.3,95.6
Oklahoma,107.4,93.8
Michigan,108.9,95.3
Mississippi,112.7,99.2
Davidson,111.8,98.5
Alabama,114.7,101.6
Missouri,111.4,98.6
Old Dominion,108.6,95.9
Wichita St.,111.1,98.7
Stanford,109.7,97.3
Massachusetts,109.1,96.8
Washington,113.2,101.0
Northern Iowa,109.0,97.6
Iowa,110.6,99.6
Texas Tech,112.2,101.3
Providence,111.8,100.8
Drexel,103.5,92.9
Oklahoma St.,109.2,98.6
North Carolina St.,112.2,101.8
Appalachian St.,111.2,100.8
Santa Clara,106.7,96.7
California,111.7,101.7
Hawaii,104.5,94.6
San Diego St.,104.4,94.6
Kent St.,105.2,95.3
Nebraska,109.0,100.0
Evansville,113.2,104.6
Loyola Chicago,110.3,101.9
Auburn,106.9,98.5
Illinois St.,107.1,98.7
Miami OH,105.7,97.4
Oral Roberts,107.1,98.7
George Mason,106.5,98.6
Utah St.,111.2,103.4
Texas A&M Corpus Chris,114.1,106.4
