team,adjO,adjD
Virginia,116.5,84.4
Villanova,127.4,96.0
Duke,122.6,93.5
Cincinnati,113.1,86.1
Purdue,123.2,96.6
Michigan St.,120.0,93.6
North Carolina,121.9,96.9
Gonzaga,119.8,95.0
Kansas,120.9,97.7
Michigan,115.9,92.7
Tennessee,114.8,92.7
Texas Tech,114.0,92.1
West Virginia,119.1,97.4
Xavier,120.7,99.0
Ohio St.,116.1,95.0
Auburn,118.2,97.5
Houston,115.8,95.2
Kentucky,116.4,96.0
Clemson,113.8,93.5
Wichita St.,121.9,101.8
Arizona,119.0,99.6
TCU,120.6,101.7
Florida,115.1,96.4
Nevada,119.9,101.7
Butler,115.7,97.9
Seton Hall,116.3,99.0
Creighton,116.4,99.2
Saint Mary's,119.8,102.6
Penn St.,113.0,95.9
Texas A&M,111.2,94.3
Notre Dame,116.1,99.3
Virginia Tech,115.0,98.4
Louisville,113.1,96.5
Baylor,111.2,95.0
Florida St.,115.8,100.0
Miami FL,113.3,97.6
Arkansas,117.3,101.7
Missouri,113.3,97.8
Texas,109.4,93.9
USC,115.4,100.1
North Carolina St.,116.4,101.3
Loyola Chicago,111.3,96.2
Davidson,117.4,102.5
Kansas St.,112.2,97.4
Arizona St.,117.6,102.9
Maryland,114.1,99.4
Oklahoma,115.1,100.7
UCLA,116.4,102.0
Rhode Island,111.7,97.3
San Diego St.,111.3,97.1
Alabama,108.4,94.6
Middle Tennessee,110.4,96.6
Marquette,119.3,105.6
Syracuse,107.7,94.1
New Mexico St.,108.4,94.8
Oklahoma St.,112.1,98.6
Nebraska,110.9,97.5
Boise St.,110.6,97.5
Murray St.,113.1,100.4
Western Kentucky,113.6,101.1
LSU,115.6,103.1
Mississippi St.,109.6,97.2
Georgia,107.8,95.8
Providence,108.9,97.0
Utah,111.9,100.0
Louisiana Lafayette,113.5,102.1
Old Dominion,108.7,97.4
South Dakota,110.0,98.8
St. Bonaventure,112.3,101.1
BYU,109.0,98.0
Montana,110.1,99.3
Boston College,113.8,103.1
Vermont,114.0,103.4
Wisconsin,110.0,99.4
Oregon,110.9,100.3
Buffalo,114.3,103.7
South Dakota St.,114.5,104.0
Indiana,109.7,99.3
Fresno St.,110.1,99.9
St. John's,106.7,96.6
South Carolina,105.8,95.8
UNC Greensboro,105.7,96.6
Belmont,113.0,104.0
Stanford,108.5,99.7
SMU,109.9,101.1
Temple,109.0,100.8
Northwestern,109.2,101.0
Vanderbilt,115.6,107.5
Wake Forest,111.1,103.1
Utah Valley,111.0,103.1
Iowa,116.7,108.8
East Tennessee St.,105.5,98.0
Furman,109.3,101.9
Oregon St.,108.8,101.4
Northern Kentucky,108.2,100.9
Georgia St.,109.0,101.8
Northeastern,107.9,100.7
Washington,106.3,99.2
Georgetown,109.8,102.9
Bucknell,109.2,102.4
DePaul,104.7,98.0
New Mexico,113.7,107.0
Illinois,109.8,103.3
Iowa St.,110.1,103.6
UNLV,111.7,105.2
Mississippi,111.5,104.9
Tulsa,108.6,102.4
Northern Colorado,107.4,101.3
UCF,99.2,93.4
Colorado,105.4,99.7
Stephen F. Austin,105.0,99.4
Grand Canyon,102.4,96.9
UAB,109.5,104.0
Marshall,109.3,103.9
Wyoming,105.9,100.8
