Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Feb 9 2016,AKRON,83,BOWLG,68,L,+4.0,L,143.0,O
Feb 6 2016,BOWLG,51,MIAOH,55,L,+1.0,L,133.0,U
Feb 2 2016,BALL,72,BOWLG,64,L,-2.5,L,136.5,U
Feb 28 2015,BOWLG,62,MIAOH,57,W,+5.0,P,127.5,U
Feb 24 2015,BOWLG,76,OHIO,65,W,+4.0,W,129.5,O
Feb 21 2015,BUFF,68,BOWLG,56,L,-2.0,L,132.0,U
Feb 18 2015,MIAOH,67,BOWLG,56,L,-11.5,L,132.0,U
Feb 14 2015,BOWLG,79,BALL,65,W,+4.5,W,125.0,O
Feb 10 2015,WMICH,49,BOWLG,65,W,-6.0,W,128.0,U
Mar 6 2017,BOWLG,62,TOLDO,77,L,-8.0,L,146.5,U
Mar 3 2017,BOWLG,68,BUFF,80,L,-9.5,L,155.0,U
Mar 11 2016,BOWLG,66,AKRON,80,L,-8.5,L,143.5,O
Mar 10 2016,BOWLG,62,CMICH,59,W,-5.5,W,145.5,U
Mar 7 2016,BOWLG,70,KENT,69,W,-7.0,W,142.5,U
Mar 4 2016,BUFF,87,BOWLG,83,L,+2.5,L,147.0,O
Mar 1 2016,BOWLG,54,KENT,70,L,-6.0,L,143.0,U
Mar 21 2015,CANIS,82,BOWLG,59,L,-8.0,L,138.0,O
Mar 17 2015,BOWLG,67,STFPA,64,W,+5.5,L,135.0,U
Mar 11 2015,EMICH,73,BOWLG,67,L,-2.5,L,124.5,O
Mar 9 2015,BALL,75,BOWLG,88,W,-10.5,W,122.5,O
Mar 6 2015,BOWLG,75,BUFF,77,L,-6.5,W,138.5,O
Mar 3 2015,KENT,81,BOWLG,80,L,-5.5,L,120.5,O
Mar 10 2014,BOWLG,51,N.ILL,54,L,-3.0,P,115.5,U
Mar 8 2014,BOWLG,65,BUFF,88,L,-11.0,L,132.0,O
Mar 4 2014,OHIO,72,BOWLG,61,L,-2.0,L,125.5,O
Mar 1 2014,BOWLG,47,AKRON,57,L,-7.5,L,126.0,U
Mar 11 2013,MIAOH,63,BOWLG,52,L,-6.5,L,124.0,U
Mar 8 2013,BUFF,65,BOWLG,76,W,-3.0,W,126.5,O
Mar 5 2013,BOWLG,61,KENT,69,L,-8.0,P,132.0,U
Mar 2 2013,OHIO,78,BOWLG,65,L,+5.5,L,128.5,O
Mar 14 2012,BOWLG,69,OAKLN,86,L,-3.5,L,153.5,O
Mar 5 2012,CMICH,54,BOWLG,53,L,-11.5,L,126.0,U
Mar 3 2012,BOWLG,64,BUFF,68,L,-5.5,W,134.0,U
Mar 10 2011,BOWLG,56,WMICH,67,L,-5.0,L,137.0,U
Mar 8 2011,N.ILL,54,BOWLG,74,W,-8.5,W,13,350.0,U
Mar 5 2011,BUFF,63,BOWLG,73,W,+4.5,W,133.5,O
Mar 1 2011,KENT,63,BOWLG,57,L,+4.0,L,137.0,U
