Virginia,116.4,84.3
Villanova,127.4,95.9
Duke,122.5,93.4
Cincinnati,113.6,86.4
Purdue,123.2,96.5
Michigan St.,119.9,93.6
North Carolina,121.9,96.8
Gonzaga,119.7,95.0
Kansas,120.9,97.6
Michigan,115.8,92.6
Tennessee,114.3,91.8
Texas Tech,114.0,92.0
West Virginia,119.1,97.3
Xavier,120.7,99.0
Ohio St.,116.1,95.0
Auburn,118.2,97.5
Houston,116.0,95.7
Clemson,113.7,93.4
Wichita St.,121.8,101.7
Kentucky,115.6,95.5
TCU,120.6,101.6
Arizona,118.8,100.1
Florida,115.1,96.4
Nevada,119.8,101.6
Butler,115.7,97.8
Seton Hall,116.2,98.9
Creighton,116.4,99.1
Saint Mary's,119.7,102.6
Penn St.,113.0,95.9
Texas A&M,111.2,94.3
Notre Dame,116.0,99.2
Virginia Tech,115.0,98.3
Louisville,113.1,96.5
Baylor,111.1,95.0
USC,115.8,100.0
Florida St.,115.8,99.9
Miami FL,113.2,97.5
Arkansas,117.3,101.6
Texas,109.3,93.8
Missouri,113.2,97.8
Loyola Chicago,111.3,96.1
North Carolina St.,116.4,101.2
Davidson,118.1,103.2
Kansas St.,112.1,97.3
Arizona St.,117.6,102.9
Maryland,114.0,99.4
Oklahoma,115.1,100.6
Rhode Island,112.4,98.0
UCLA,116.4,102.0
San Diego St.,111.2,97.1
Alabama,108.4,94.6
Middle Tennessee,110.4,96.6
Marquette,119.3,105.5
Syracuse,107.6,94.0
Oklahoma St.,112.1,98.6
Nebraska,110.9,97.5
Boise St.,110.6,97.4
New Mexico St.,108.1,95.0
Murray St.,113.1,100.4
Western Kentucky,113.6,101.0
LSU,115.6,103.1
Mississippi St.,109.6,97.2
Providence,108.8,96.9
Georgia,107.7,95.9
Utah,111.8,99.9
Louisiana Lafayette,113.4,102.0
South Dakota,110.1,98.7
Old Dominion,108.6,97.3
St. Bonaventure,112.1,100.9
BYU,109.0,98.0
Montana,110.1,99.2
Vermont,114.1,103.3
Boston College,113.8,103.0
South Dakota St.,114.6,104.0
Wisconsin,110.0,99.4
Oregon,110.8,100.2
Buffalo,114.2,103.7
Indiana,109.7,99.3
Fresno St.,110.0,99.8
St. John's,106.6,96.5
South Carolina,105.8,95.8
UNC Greensboro,105.6,96.5
Belmont,112.9,103.9
SMU,109.8,101.0
Stanford,108.4,99.6
Temple,109.0,100.7
Northwestern,109.2,100.9
Vanderbilt,115.6,107.5
Wake Forest,111.0,103.0
Iowa,116.6,108.7
Utah Valley,111.0,103.1
East Tennessee St.,105.5,98.0
Furman,109.3,101.8
Oregon St.,108.7,101.4
Northern Kentucky,108.1,100.8
Northeastern,107.9,100.7
Washington,106.2,99.2
Georgetown,109.7,102.8
Bucknell,109.1,102.3
DePaul,104.7,97.9
Georgia St.,108.7,102.0
New Mexico,113.6,107.0
Iowa St.,110.1,103.5
Illinois,109.8,103.2
Mississippi,111.5,104.9
UNLV,111.7,105.2
Tulsa,108.5,102.3
Northern Colorado,107.3,101.2
Grand Canyon,102.5,96.6
UCF,99.1,93.3
Colorado,105.3,99.7
Stephen F. Austin,104.9,99.3
UAB,109.5,104.0
Marshall,109.3,103.9
Wyoming,105.8,100.7
Georgia Tech,103.9,98.9
Saint Joseph's,105.7,100.6
Minnesota,108.9,103.9
Toledo,114.0,109.1
College of Charleston,109.8,105.1
UC Santa Barbara,111.8,107.1
Missouri St.,108.5,103.9
Northern Iowa,103.3,99.0
UT Arlington,106.1,102.1
San Diego,104.0,100.0
Bradley,104.5,100.7
Penn,103.2,99.4
Idaho,109.5,105.7
UC Davis,104.6,101.1
Canisius,107.7,104.3
Eastern Washington,108.3,104.8
Florida Gulf Coast,108.2,104.8
UC Irvine,101.0,97.7
Rutgers,99.4,96.4
Iona,110.2,107.3
Wright St.,101.0,98.2
Utah St.,107.5,104.8
Southern Illinois,106.3,103.6
Evansville,99.4,96.8
Rider,109.3,106.8
VCU,106.3,104.0
Indiana St.,104.7,102.5
San Francisco,103.1,100.8
Illinois St.,105.7,103.6
Saint Louis,102.3,100.2
Eastern Michigan,103.3,101.2
Harvard,101.0,99.0
Mercer,112.0,110.1
Jacksonville St.,102.1,100.3
Georgia Southern,106.2,104.5
Valparaiso,103.2,101.5
Albany,107.2,105.8
Drake,106.7,105.5
Louisiana Tech,106.9,105.7
Fort Wayne,107.6,106.4
Wofford,108.6,107.5
La Salle,105.0,104.0
Weber St.,107.0,106.0
Towson,106.1,105.1
Memphis,107.8,106.9
Hofstra,111.2,110.4
Winthrop,106.3,105.5
Portland St.,108.6,107.8
Lipscomb,103.8,103.4
Cal St. Fullerton,104.6,104.3
Pacific,107.2,107.0
Tulane,107.1,106.9
Dayton,108.5,108.5
North Dakota St.,105.5,105.5
Radford,103.5,103.6
Wagner,103.8,103.9
William & Mary,115.4,115.5
Connecticut,105.2,105.5
Ball St.,103.5,103.8
UTSA,105.3,105.6
Troy,106.4,106.8
Central Michigan,108.0,108.4
Oakland,107.3,108.0
Richmond,107.5,108.3
Liberty,104.7,105.7
Monmouth,103.9,105.0
Washington St.,108.7,110.2
Nicholls St.,103.5,105.1
UMBC,103.3,105.2
North Texas,103.2,105.3
Western Michigan,106.5,108.8
Long Beach St.,106.4,108.7
Austin Peay,105.2,107.5
Seattle,104.3,106.6
Southeastern Louisiana,103.3,105.7
Princeton,105.6,108.1
UNC Asheville,105.7,108.2
Miami OH,99.3,101.9
George Washington,103.7,106.4
Ohio,100.7,103.8
Hawaii,99.5,102.6
Yale,104.0,107.2
Tennessee St.,97.8,101.1
Niagara,110.5,114.0
Duquesne,104.8,108.4
Central Arkansas,106.0,109.6
Illinois Chicago,100.8,104.5
Lamar,102.1,105.7
St. Francis PA,107.4,111.1
Milwaukee,100.1,103.8
Denver,103.0,106.8
Appalachian St.,103.7,107.7
Massachusetts,106.6,110.7
Coastal Carolina,102.0,106.1
Colgate,105.3,109.4
Fairfield,102.3,106.5
Sam Houston St.,102.1,106.6
Kent St.,102.3,107.0
Hartford,102.6,107.4
Saint Peter's,95.9,100.7
Manhattan,99.6,104.4
Southern Miss,105.7,110.6
Tennessee Tech,98.8,103.9
George Mason,102.3,107.5
South Alabama,97.1,102.5
Idaho St.,103.6,109.0
Louisiana Monroe,101.0,106.5
Loyola Marymount,107.8,113.3
Stony Brook,96.9,102.4
Colorado St.,102.9,108.5
Pittsburgh,99.2,104.8
Campbell,104.6,110.3
Texas St.,100.1,105.7
Navy,98.9,104.6
Oral Roberts,106.4,112.3
Mount St. Mary's,104.1,110.2
Air Force,100.8,106.9
Columbia,107.5,113.6
North Dakota,103.4,109.5
FIU,98.2,104.4
James Madison,101.4,107.7
Lehigh,106.0,112.2
Bowling Green,102.3,108.6
Cal St. Bakersfield,97.8,104.1
High Point,100.3,107.0
California,98.6,105.4
Florida Atlantic,95.7,102.7
UTEP,97.9,105.1
Robert Morris,95.2,102.6
Southern Utah,102.6,110.1
Hampton,101.7,109.2
UNC Wilmington,104.5,112.0
Charleston Southern,99.5,107.1
Texas Southern,105.2,112.9
Delaware,102.1,109.9
LIU Brooklyn,103.3,111.1
Elon,103.7,111.6
Drexel,103.1,110.9
NJIT,98.8,106.8
Northern Illinois,103.5,111.5
Southeast Missouri St.,108.6,116.8
Eastern Illinois,99.2,107.4
Akron,102.0,110.3
UT Rio Grande Valley,99.5,107.8
Boston University,100.3,108.7
Gardner Webb,97.8,106.4
UC Riverside,94.9,103.7
Army,100.0,108.8
Pepperdine,105.7,114.5
Abilene Christian,98.7,107.6
Cornell,104.8,113.8
Portland,99.6,108.6
Montana St.,102.4,111.5
Brown,101.1,110.2
New Orleans,98.2,107.4
Green Bay,99.8,109.0
Prairie View A&M,101.5,110.9
Santa Clara,99.8,109.5
Fairleigh Dickinson,102.5,112.4
UMKC,98.7,108.7
Morehead St.,99.2,109.3
Nebraska Omaha,104.5,114.8
Quinnipiac,102.1,112.4
Lafayette,102.0,112.3
South Florida,99.1,109.5
Arkansas St.,104.8,115.2
Sacramento St.,100.1,110.6
New Hampshire,98.3,108.9
North Florida,107.9,118.6
Bethune Cookman,99.8,110.9
Eastern Kentucky,101.8,113.0
IUPUI,98.2,109.4
UMass Lowell,103.6,114.9
Western Illinois,96.6,107.9
Holy Cross,97.7,109.1
McNeese St.,100.7,112.3
Fordham,94.6,106.3
Tennessee Martin,95.7,107.5
Little Rock,94.2,105.9
Grambling St.,94.4,106.3
Rice,98.9,110.8
Samford,108.1,120.0
San Jose St.,95.8,107.9
Dartmouth,98.7,110.8
Binghamton,97.5,109.7
Siena,96.8,109.0
Western Carolina,96.0,108.3
Sacred Heart,96.4,108.7
North Carolina A&T,98.7,111.2
Chattanooga,99.5,112.1
Central Connecticut,98.3,110.9
Cleveland St.,97.8,110.4
North Carolina Central,98.1,110.8
East Carolina,97.0,109.8
St. Francis NY,99.0,111.8
Kennesaw St.,99.1,112.0
Texas A&M Corpus Chris,94.8,107.7
Norfolk St.,95.7,108.7
Stetson,98.7,112.1
The Citadel,101.8,115.2
Savannah St.,101.2,114.6
Charlotte,99.2,112.7
SIU Edwardsville,99.7,113.4
Marist,98.8,113.1
Jacksonville,94.3,108.7
Detroit,102.5,117.2
Cal Poly,98.6,113.3
Morgan St.,96.6,111.3
Loyola MD,96.4,111.2
Youngstown St.,101.3,116.4
Northern Arizona,93.8,109.5
Southern,94.4,110.1
Cal St. Northridge,97.1,113.2
American,95.8,112.0
Arkansas Pine Bluff,93.7,110.3
VMI,90.2,107.6
Houston Baptist,99.2,116.8
Maine,91.0,108.7
Presbyterian,98.1,115.9
Howard,99.6,118.6
Alcorn St.,95.1,114.7
Jackson St.,89.6,109.4
USC Upstate,105.4,125.2
Alabama St.,95.9,116.0
Longwood,89.8,110.3
Florida A&M,95.9,117.0
Incarnate Word,93.7,115.3
South Carolina St.,97.1,118.8
Bryant,99.1,120.8
Northwestern St.,88.6,110.9
Chicago St.,96.8,119.3
Coppin St.,86.7,110.7
Mississippi Valley St.,90.4,114.8
Maryland Eastern Shore,91.0,117.9
Delaware St.,90.5,118.5
Alabama A&M,86.7,115.2
