Feb 26, 2018,MSVAL,79,GRAMB,74,W,0.0,,0.0,
Feb 24, 2018,MSVAL,59,JACKS,60,L,0.0,,0.0,
Feb 19, 2018,PVA&M,71,MSVAL,76,W,0.0,,0.0,
Feb 17, 2018,TEXSO,72,MSVAL,71,L,0.0,,0.0,
Feb 12, 2018,MSVAL,51,SUTHR,55,L,0.0,,0.0,
Feb 10, 2018,MSVAL,90,ALCRN,94,L,0.0,,0.0,
Feb 5, 2018,ALA&M,67,MSVAL,77,W,0.0,,0.0,
Feb 3, 2018,ALAST,89,MSVAL,85,L,0.0,,0.0,
Feb 27, 2017,GRAMB,80,MSVAL,84,W,0.0,,0.0,
Feb 25, 2017,JACKS,67,MSVAL,70,W,0.0,,0.0,
Feb 20, 2017,MSVAL,61,TEXSO,92,L,0.0,,0.0,
Feb 18, 2017,MSVAL,69,PVA&M,82,L,0.0,,0.0,
Feb 13, 2017,SUTHR,81,MSVAL,72,L,0.0,,0.0,
Feb 11, 2017,ALCRN,88,MSVAL,77,L,0.0,,0.0,
Feb 6, 2017,MSVAL,66,ALAST,71,L,0.0,,0.0,
Feb 4, 2017,MSVAL,68,ALA&M,66,W,0.0,,0.0,
Feb 29, 2016,MSVAL,58,GRAMB,57,W,0.0,,0.0,
Feb 27, 2016,MSVAL,49,JACKS,60,L,0.0,,0.0,
Feb 22, 2016,PVA&M,63,MSVAL,61,L,0.0,,0.0,
Feb 20, 2016,TEXSO,98,MSVAL,67,L,0.0,,0.0,
Feb 15, 2016,MSVAL,64,SUTHR,97,L,0.0,,0.0,
Feb 13, 2016,MSVAL,71,ALCRN,72,L,0.0,,0.0,
Feb 8, 2016,ALA&M,64,MSVAL,66,W,0.0,,0.0,
Feb 6, 2016,ALAST,73,MSVAL,62,L,0.0,,0.0,
Feb 1, 2016,GRAMB,59,MSVAL,72,W,0.0,,0.0,
Feb 28, 2015,MSVAL,49,JACKS,73,L,0.0,,0.0,
Feb 23, 2015,MSVAL,73,TEXSO,83,L,0.0,,0.0,
Feb 21, 2015,MSVAL,74,PVA&M,84,L,0.0,,0.0,
Feb 16, 2015,SUTHR,68,MSVAL,56,L,0.0,,0.0,
Feb 14, 2015,ALCRN,60,MSVAL,76,W,0.0,,0.0,
