Jan 27, 2018,CCONN,89,LIU,94,L,0.0,,0.0,
Jan 25, 2018,CCONN,80,BRYANT,74,W,0.0,,0.0,
Jan 20, 2018,LIU,63,CCONN,72,W,0.0,,0.0,
Jan 18, 2018,FDU,65,CCONN,66,W,0.0,,0.0,
Jan 13, 2018,BRYANT,76,CCONN,80,W,0.0,,0.0,
Jan 11, 2018,CCONN,60,STFNY,77,L,0.0,,0.0,
Jan 6, 2018,CCONN,51,MTSTM,78,L,0.0,,0.0,
Jan 4, 2018,CCONN,77,FDU,81,L,0.0,,0.0,
Jan 28, 2017,LIU,52,CCONN,61,W,0.0,,0.0,
Jan 25, 2017,BRYANT,65,CCONN,54,L,0.0,,0.0,
Jan 21, 2017,CCONN,84,STFPA,83,W,0.0,,0.0,
Jan 19, 2017,CCONN,67,ROBMO,74,L,0.0,,0.0,
Jan 14, 2017,FDU,59,CCONN,47,L,0.0,,0.0,
Jan 12, 2017,CCONN,49,LIU,60,L,0.0,,0.0,
Jan 7, 2017,MTSTM,77,CCONN,68,L,0.0,,0.0,
Jan 5, 2017,SACRD,64,CCONN,62,L,0.0,,144.5,U
Jan 30, 2016,STFNY,60,CCONN,49,L,0.0,,0.0,
Jan 28, 2016,BRYANT,67,CCONN,78,W,0.0,,0.0,
Jan 23, 2016,STFPA,79,CCONN,64,L,0.0,,0.0,
Jan 21, 2016,ROBMO,59,CCONN,45,L,0.0,,0.0,
Jan 16, 2016,CCONN,48,WAGNR,70,L,0.0,,0.0,
Jan 14, 2016,SACRD,80,CCONN,78,L,0.0,,0.0,
Jan 9, 2016,CCONN,73,FDU,92,L,0.0,,0.0,
Jan 7, 2016,CCONN,62,MTSTM,73,L,0.0,,0.0,
Jan 4, 2016,LIU,76,CCONN,67,L,0.0,,0.0,
Jan 2, 2016,CCONN,72,BRYANT,88,L,0.0,,0.0,
Jan 31, 2015,CCONN,55,WAGNR,86,L,0.0,,0.0,
Jan 29, 2015,CCONN,55,LIU,67,L,0.0,,0.0,
Jan 24, 2015,WAGNR,50,CCONN,53,W,0.0,,0.0,
Jan 21, 2015,CCONN,51,STFNY,63,L,0.0,,0.0,
