Jan 27, 2018,NCCEN,64,NCA&T,70,W,0.0,,0.0,
Jan 22, 2018,NCA&T,88,HOWRD,90,L,0.0,,0.0,
Jan 20, 2018,NCA&T,66,MD-ES,64,W,0.0,,0.0,
Jan 18, 2018,NORFK,68,NCA&T,71,W,0.0,,0.0,
Jan 15, 2018,COPIN,47,NCA&T,60,W,0.0,,0.0,
Jan 13, 2018,MORGN,67,NCA&T,69,W,0.0,,0.0,
Jan 8, 2018,NCA&T,76,DELST,66,W,0.0,,0.0,
Jan 30, 2017,NCA&T,69,NORFK,83,L,0.0,,0.0,
Jan 28, 2017,NCA&T,59,NCCEN,82,L,0.0,,0.0,
Jan 21, 2017,HOWRD,78,NCA&T,63,L,0.0,,0.0,
Jan 16, 2017,NCA&T,53,MORGN,82,L,0.0,,0.0,
Jan 14, 2017,NCA&T,73,COPIN,75,L,0.0,,0.0,
Jan 9, 2017,MD-ES,99,NCA&T,88,L,0.0,,0.0,
Jan 7, 2017,DELST,55,NCA&T,53,L,0.0,,0.0,
Jan 4, 2017,NCA&T,53,HAMPT,68,L,0.0,,0.0,
Jan 30, 2016,SAVAN,62,NCA&T,63,W,0.0,,0.0,
Jan 27, 2016,NCA&T,68,COPIN,73,L,0.0,,0.0,
Jan 25, 2016,NCA&T,55,DELST,57,L,0.0,,0.0,
Jan 18, 2016,NORFK,75,NCA&T,68,L,0.0,,0.0,
Jan 16, 2016,HAMPT,79,NCA&T,62,L,0.0,,0.0,
Jan 11, 2016,NCA&T,85,SC.ST,92,L,0.0,,0.0,
Jan 9, 2016,NCA&T,68,SAVAN,75,L,0.0,,0.0,
Jan 5, 2016,NCA&T,68,USCUP,78,L,0.0,,0.0,
Jan 31, 2015,NCA&T,62,SAVAN,59,W,0.0,,0.0,
Jan 26, 2015,COPIN,84,NCA&T,71,L,0.0,,0.0,
Jan 24, 2015,DELST,67,NCA&T,52,L,0.0,,0.0,
Jan 19, 2015,NCA&T,60,NORFK,74,L,0.0,,0.0,
Jan 17, 2015,NCA&T,64,HAMPT,61,W,0.0,,0.0,
Jan 12, 2015,SC.ST,52,NCA&T,50,L,0.0,,0.0,
Jan 10, 2015,SAVAN,47,NCA&T,68,W,0.0,,0.0,
