Louisville 1,117.7,84.8
Florida 3,117.2,86.0
Indiana 1,120.8,91.5
Michigan 4,121.9,94.0
Gonzaga 1,120.5,92.7
Duke 2,119.1,92.1
Ohio St. 2,115.1,89.7
Kansas 1,112.7,87.5
Syracuse 4,113.1,88.3
Michigan St. 3,112.6,88.5
Pittsburgh 8,115.6,91.5
Wisconsin 5,108.3,85.7
Miami FL 2,113.6,91.3
Arizona 6,115.4,93.5
Creighton 7,118.3,96.5
Georgetown 2,107.6,86.4
Wichita St. 9,111.8,91.5
VCU 5,114.0,93.7
Saint Louis 4,108.6,88.6
Minnesota 11,114.8,95.0
Saint Mary's 11,116.1,96.8
Colorado St. 8,117.9,98.8
New Mexico 3,109.9,90.9
Oklahoma St. 5,109.0,90.3
Missouri 9,114.9,96.4
Marquette 3,113.2,94.9
Kansas St. 4,113.5,95.3
Baylor,114.3,96.4
Iowa,109.8,91.9
Iowa St. 10,117.5,99.8
San Diego St. 7,107.7,90.3
North Carolina 8,112.2,95.1
North Carolina St. 8,116.8,99.8
Mississippi 12,112.3,95.3
Oregon 12,106.6,89.8
Notre Dame 7,114.6,97.9
Memphis 6,107.3,91.0
UNLV 5,106.0,90.0
Illinois 7,110.6,94.8
Cincinnati 10,105.9,90.4
Virginia,107.5,92.0
Butler 6,110.5,95.1
Belmont 11,111.6,96.6
Middle Tennessee 11,107.3,92.5
Colorado 10,106.5,91.9
UCLA 6,111.1,96.6
Denver,110.0,95.7
Stanford,109.9,95.7
Connecticut,109.9,95.9
La Salle 13,111.8,98.0
Oklahoma 10,111.1,97.3
Maryland,107.1,93.4
Villanova 9,106.3,92.7
Boise St. 13,113.2,99.7
Kentucky,111.4,98.1
California 12,107.3,94.2
BYU,110.2,97.2
Bucknell 11,107.3,94.6
Temple 9,111.3,98.6
Stony Brook,106.7,94.4
Southern Miss,110.4,98.2
Akron 12,106.8,95.2
Illinois St.,109.7,98.2
Alabama,103.6,92.2
Valparaiso 14,110.7,99.3
Davidson 14,112.1,100.7
Dayton,112.7,101.4
Northern Iowa,106.8,96.0
Providence,107.9,97.2
Stephen F. Austin,100.4,89.7
Weber St.,109.1,98.4
Arizona St.,108.3,97.8
Tennessee,109.1,98.6
Purdue,107.0,96.6
North Dakota St.,105.5,95.4
Santa Clara,110.9,101.2
Detroit,113.7,104.1
Xavier,106.0,96.4
Saint Joseph's,109.0,99.6
Arkansas,106.7,97.4
Washington,107.7,98.5
Ohio,106.6,97.5
Richmond,110.0,102.0
Evansville,106.4,98.3
Louisiana Tech,101.8,93.7
Massachusetts,107.4,99.5
Princeton,108.8,100.9
New Mexico St. 13,104.7,97.1
Iona 15,114.4,106.9
Washington St.,107.6,100.2
Lehigh,108.9,101.6
Indiana St.,103.0,95.7
Harvard 14,108.1,101.1
Texas,102.5,95.5
Texas A&M,105.2,98.4
South Dakota St. 13,112.0,105.2
Oregon St.,109.4,102.7
Vanderbilt,102.6,95.8
Air Force,111.7,104.9
Wyoming,103.0,96.5
USC,103.4,97.0
LSU,105.6,99.3
St. John's,100.4,94.0
Georgia Tech,99.9,93.5
Florida Gulf Coast 15,104.9,98.6
Rutgers,107.5,101.4
Boston College,109.9,103.9
Utah St.,109.7,104.2
Fresno St.,100.0,94.5
Eastern Kentucky,110.7,105.3
George Washington,100.4,95.1
Clemson,101.2,95.8
Georgia,101.9,96.7
UTEP,103.7,98.5
Utah,104.7,99.5
Canisius,111.2,106.2
Seton Hall,104.3,99.4
Drake,107.2,102.6
St. Bonaventure,109.7,105.2
Florida St.,107.1,102.7
Kent St.,107.8,103.4
Wright St.,98.0,93.7
West Virginia,105.0,100.8
Loyola MD,104.6,100.4
East Carolina,108.9,104.9
Green Bay,104.5,100.5
Mercer,104.0,100.1
Pacific 15,106.1,102.2
Charlotte,101.4,97.5
UCF,106.8,103.5
Murray St.,105.6,102.3
Northwestern,104.5,101.2
George Mason,103.5,100.3
San Francisco,107.1,104.0
Vermont,103.0,99.9
Nebraska,102.1,99.1
Wake Forest,101.6,98.7
Northwestern St. 14,106.6,103.8
Niagara,107.0,104.2
Western Michigan,102.6,100.0
South Florida,102.4,99.7
Robert Morris,105.1,102.9
Boston University,105.3,103.0
Oral Roberts,106.6,104.4
Montana 13,104.9,102.8
Tulane,107.2,105.3
UC Irvine,101.1,99.2
Arkansas St.,98.8,97.1
UT Arlington,98.8,97.5
Albany 15,102.6,101.3
Fairfield,98.0,96.8
Cal Poly,106.4,105.3
College of Charleston,102.7,101.6
Manhattan,95.3,94.4
Texas Southern,105.7,105.0
Western Illinois,97.3,96.6
Long Beach St.,105.7,105.1
Army,105.3,104.7
Bradley,104.4,103.8
Rider,98.8,98.2
Penn St.,102.1,101.5
Southern 16,99.3,98.8
UAB,100.9,100.6
North Carolina Central,99.3,99.0
Tennessee St.,104.9,104.7
Loyola Chicago,103.2,103.1
Delaware,104.4,104.3
Drexel,102.1,102.0
Virginia Tech,107.2,107.3
San Diego,102.8,103.0
Lafayette,106.0,106.2
Nevada,105.1,105.4
Western Kentucky 16,101.8,102.2
DePaul,105.5,105.9
Towson,103.1,103.6
Bryant,109.4,109.9
Southern Illinois,102.7,103.4
Northeastern,106.4,107.2
Charleston Southern,102.3,103.1
Houston,108.0,108.8
Tulsa,99.5,100.3
James Madison 16,100.2,101.1
Illinois Chicago,98.8,99.9
Wagner,97.2,98.4
SMU,100.8,102.1
Toledo,104.2,105.5
Georgia St.,105.8,107.1
FIU,101.6,102.9
Buffalo,103.3,104.7
Gardner Webb,98.0,99.6
Youngstown St.,102.9,104.8
LIU Brooklyn 16,110.5,112.6
Rhode Island,100.5,102.8
South Alabama,99.1,101.4
USC Upstate,103.0,105.3
Columbia,101.1,103.5
Auburn,98.8,101.6
Yale,102.7,105.7
Idaho,109.9,112.8
